country,region,x_peak,y_solar,reach,phase_lag,home_gap,pv_frac
KH,Asia-Pacific,21,13.17492003613913,7.825079963860871,9.0,0.5462964641697602,0.4253351899576693
KR,Asia-Pacific,21,12.873233176296925,8.126766823703075,9.0,0.5150595586211325,0.6268757428890502
KW,Asia-Pacific,22,12.931510469430679,9.068489530569321,10.0,0.4111389591891976,0.5258642355461328
KZ,Asia-Pacific,22,12.228359644270537,9.771640355729463,9.0,0.4276207152533093,0.6995129292090642
LC,North America,21,12.9959222884014,8.0040777115986,8.0,0.493629541506725,0.7133006075712264
LK,Asia-Pacific,21,12.322801007030955,8.677198992969045,9.0,0.3951423895360442,0.7471560213742844
LY,Africa/MENA,23,13.076791190008997,9.923208809991003,11.0,0.3358626700659317,0.5436459286082099
MA,Africa/MENA,20,13.445713541775884,6.554286458224116,7.0,0.4053364149485406,0.6983836661495207
MG,Africa/MENA,11,11.445987799492702,-0.44598779949270195,-1.0,0.4342989787512414,0.8062675706662052
MM,Asia-Pacific,20,13.069218163943466,6.930781836056534,8.0,0.5325311738161502,0.6342610274261988
MN,Asia-Pacific,21,13.365759445098805,7.634240554901195,8.0,0.3010309138549441,0.7341523060550503
MR,Africa/MENA,19,12.690162670232889,6.309837329767111,5.0,0.2799556051585183,0.6828241326539791
MU,Africa/MENA,21,12.071603433765526,8.928396566234474,9.0,0.4261754976538736,0.7175806016981596
MX,North America,21,12.073441085521592,8.926558914478408,9.0,0.2437897690099184,0.6159820509504471
MY,Asia-Pacific,20,12.441017886099752,7.558982113900248,8.0,0.5302750663779531,0.5126274373685763
NE,Africa/MENA,20,11.169706397086593,8.830293602913407,8.0,0.530446336430366,0.6714444628871712
NG,Africa/MENA,18,11.981789220999868,6.018210779000132,6.0,0.4804001782898447,0.7113938974238442
NI,North America,21,12.610712426950546,8.389287573049454,9.0,0.3824928994474023,0.677114047798234
NL,Europe,19,13.145538316813994,5.854461683186006,3.0,0.2597351146583103,0.6465063248081484
NO,Europe,20,12.569092087386897,7.430907912613103,5.0,0.4353225737985497,0.6951753577972943
NP,Asia-Pacific,21,12.747441877190939,8.252558122809061,9.0,0.4941242452555128,0.7632780001896176
NZ,Asia-Pacific,14,11.988449975984386,2.011550024015614,2.0,0.3113338454829571,0.5607115118842753
OM,Asia-Pacific,21,12.227810386350706,8.772189613649294,8.0,0.5001838615293702,0.6315578683538609
PA,North America,15,12.77034242852963,2.2296575714703692,3.0,0.4449423806732233,0.7841323603188298
PE,Latin America,21,12.870613794441711,8.129386205558289,8.0,0.2321473785302087,0.8094982093560265
PH,Asia-Pacific,21,13.056892650783727,7.943107349216273,9.0,0.396755048522941,0.5638872490089119
PK,Asia-Pacific,21,12.113394503139576,8.886605496860424,8.0,0.2967379380165541,0.6242268455993004
PL,Europe,20,12.78715962300877,7.212840376991229,8.0,0.3235576945434712,0.7438851752395063
PS,Asia-Pacific,22,13.259718373827615,8.740281626172385,10.0,0.5554439770809817,0.6593328776982454
PT,Europe,20,12.866104103984544,7.133895896015456,8.0,0.3504149040483726,0.702726479011579
PY,Latin America,14,12.063669665237883,1.9363303347621166,2.0,0.3012531134658787,0.602364043634472
RO,Europe,20,12.116557749513278,7.883442250486722,7.0,0.3270858770323482,0.7018712677810607
RU,Europe,21,11.964454094468914,9.035545905531086,9.0,0.4277886588090046,0.6615492500797906
RW,Africa/MENA,15,12.40963386279086,2.5903661372091396,3.0,0.4642981095014807,0.7651054510809919
SA,Asia-Pacific,21,12.283514030676576,8.716485969323424,8.0,0.5433750746998084,0.4471804388147597
SE,Europe,20,12.888979390186222,7.111020609813778,6.0,0.3970318111852031,0.6849723174822424
SK,Europe,20,12.570770154184618,7.429229845815382,8.0,0.5251161593583006,0.7826157997792679
SN,Africa/MENA,19,12.882179202989494,6.117820797010506,6.0,0.3098105406456489,0.7242481660896128
SR,Latin America,21,13.038039172435953,7.961960827564047,9.0,0.5199643128564397,0.4974235672699974
SV,North America,14,12.642226300823472,1.3577736991765281,2.0,0.4486805811652292,0.817170813181416
TH,Asia-Pacific,21,13.16606299008998,7.83393700991002,9.0,0.4177452096000048,0.584319476890868
TN,Africa/MENA,21,12.932745531771744,8.067254468228256,8.0,0.3453635978063545,0.734101978990689
TR,Asia-Pacific,20,11.960087103251421,8.039912896748579,8.0,0.3690682315253239,0.733932349453934
TW,Asia-Pacific,22,13.336407524651623,8.663592475348377,10.0,0.5108654439048581,0.5715666044872468
UA,Europe,20,12.389128201529992,7.610871798470008,8.0,0.5062043828810399,0.7378842036082012
UG,Africa/MENA,21,12.992664347404313,8.007335652595687,9.0,0.5032862348004276,0.7627099577082983
US,North America,13,12.914167834545175,0.08583216545482486,0.0,0.1676904754423953,0.6155747998108175
UY,Latin America,20,12.656310235680149,7.343689764319851,-3.0,0.3350948060739149,0.7189127928426525
UZ,Asia-Pacific,20,12.069309313149533,7.9306906868504665,8.0,0.4273669785051523,0.7122041917480381
VN,Asia-Pacific,21,12.997411037437042,8.002588962562958,9.0,0.3993464448670776,0.6490493373341119
ZA,Africa/MENA,20,12.329329317682772,7.670670682317228,7.0,0.3097395002770905,0.6711007309262451
ZM,Africa/MENA,21,13.204618226416565,7.7953817735834345,9.0,0.4907218525955585,0.7297145645945546
