year,parameter,variant,country,scenario,uncovered_share,storage_cost_usd_yr_per_100mw_mid
2030,lambda_inf_band,lambda_inf_low,KR,L3_W3,0.043013253174775945,4739316.888877906
2030,lambda_inf_band,lambda_inf_low,KW,L0_W0,0.30007824449761067,33063434.805864766
2030,lambda_inf_band,lambda_inf_low,KW,L3_W3,0.041273983866273,4547679.479482216
2030,lambda_inf_band,lambda_inf_low,KZ,L0_W0,0.4342845857133869,47850653.455288686
2030,lambda_inf_band,lambda_inf_low,KZ,L3_W3,0.07587090416907075,8359661.987012382
2030,lambda_inf_band,lambda_inf_low,LC,L0_W0,0.2179782523562206,24017435.012465965
2030,lambda_inf_band,lambda_inf_low,LC,L3_W3,0.04191995272442166,4618854.080172694
2030,lambda_inf_band,lambda_inf_low,LK,L0_W0,0.2826273070565537,31140643.190799158
2030,lambda_inf_band,lambda_inf_low,LK,L3_W3,0.041198224890363226,4539332.150054368
2030,lambda_inf_band,lambda_inf_low,LY,L0_W0,0.23859760764096383,26289331.49845564
2030,lambda_inf_band,lambda_inf_low,LY,L3_W3,0.04631631356036999,5103257.040226643
2030,lambda_inf_band,lambda_inf_low,MA,L0_W0,0.35817784907010375,39465006.806678176
2030,lambda_inf_band,lambda_inf_low,MA,L3_W3,0.04778442228263883,5265017.240830068
2030,lambda_inf_band,lambda_inf_low,MG,L0_W0,0.3538588063318906,38989122.96432322
2030,lambda_inf_band,lambda_inf_low,MG,L3_W3,0.055948097370080815,6164513.102257133
2030,lambda_inf_band,lambda_inf_low,MM,L0_W0,0.33985170992280117,37445783.09402789
2030,lambda_inf_band,lambda_inf_low,MM,L3_W3,0.04451138439457496,4904385.049681712
2030,lambda_inf_band,lambda_inf_low,MN,L0_W0,0.2868519260223834,31606123.165830947
2030,lambda_inf_band,lambda_inf_low,MN,L3_W3,0.044950818080024414,4952803.044910535
2030,lambda_inf_band,lambda_inf_low,MR,L0_W0,0.2645861324979912,29152817.649374392
2030,lambda_inf_band,lambda_inf_low,MR,L3_W3,0.05970812979208268,6578803.671908165
2030,lambda_inf_band,lambda_inf_low,MU,L0_W0,0.28322637380196075,31206649.98950691
2030,lambda_inf_band,lambda_inf_low,MU,L3_W3,0.048444979958579076,5337799.277030421
2030,lambda_inf_band,lambda_inf_low,MX,L0_W0,0.24276234337896538,26748213.377039026
2030,lambda_inf_band,lambda_inf_low,MX,L3_W3,0.02580825059879688,2843623.044234169
2030,lambda_inf_band,lambda_inf_low,MY,L0_W0,0.3686360790158298,40617322.94533784
2030,lambda_inf_band,lambda_inf_low,MY,L3_W3,0.06657392813124287,7335295.953303277
2030,lambda_inf_band,lambda_inf_low,NE,L0_W0,0.39057799254580466,43034942.48563085
2030,lambda_inf_band,lambda_inf_low,NE,L3_W3,0.06232849197014516,6867522.283239593
2030,lambda_inf_band,lambda_inf_low,NG,L0_W0,0.27801004633067833,30631900.881781567
2030,lambda_inf_band,lambda_inf_low,NG,L3_W3,0.04389272172095424,4836219.118458252
2030,lambda_inf_band,lambda_inf_low,NI,L0_W0,0.3072443357475567,33853014.17457956
2030,lambda_inf_band,lambda_inf_low,NI,L3_W3,0.05845848551375383,6441114.476224481
2030,lambda_inf_band,lambda_inf_low,NL,L0_W0,0.21031389126592923,23172954.92140934
2030,lambda_inf_band,lambda_inf_low,NL,L3_W3,0.050936375811157855,5612308.028856968
2030,lambda_inf_band,lambda_inf_low,NO,L0_W0,0.3480875265750997,38353227.70872237
2030,lambda_inf_band,lambda_inf_low,NO,L3_W3,0.050314906547836,5543832.859968625
2030,lambda_inf_band,lambda_inf_low,NP,L0_W0,0.49811949379038384,54884156.750656575
2030,lambda_inf_band,lambda_inf_low,NP,L3_W3,0.05150400239056784,5674850.6648078635
2030,lambda_inf_band,lambda_inf_low,NZ,L0_W0,0.2777933500126367,30608024.69376855
2030,lambda_inf_band,lambda_inf_low,NZ,L3_W3,0.04546263581800523,5009196.511356413
2030,lambda_inf_band,lambda_inf_low,OM,L0_W0,0.26246654774072337,28919276.05239938
2030,lambda_inf_band,lambda_inf_low,OM,L3_W3,0.04342324190932572,4784490.559560432
2030,lambda_inf_band,lambda_inf_low,PA,L0_W0,0.41856222316384334,46118320.909751065
2030,lambda_inf_band,lambda_inf_low,PA,L3_W3,0.033444948647981775,3685055.1463981424
2030,lambda_inf_band,lambda_inf_low,PE,L0_W0,0.23297526317988523,25669846.337656293
2030,lambda_inf_band,lambda_inf_low,PE,L3_W3,0.03326206448523172,3664904.473355399
2030,lambda_inf_band,lambda_inf_low,PH,L0_W0,0.2867822499867521,31598446.071260218
2030,lambda_inf_band,lambda_inf_low,PH,L3_W3,0.03873426411671135,4267846.269629286
2030,lambda_inf_band,lambda_inf_low,PK,L0_W0,0.27382848230758483,30171164.817107607
2030,lambda_inf_band,lambda_inf_low,PK,L3_W3,0.05374830443646066,5922133.950883063
2030,lambda_inf_band,lambda_inf_low,PL,L0_W0,0.2923407627997784,32210898.087962553
2030,lambda_inf_band,lambda_inf_low,PL,L3_W3,0.04491304549888817,4948641.159479827
2030,lambda_inf_band,lambda_inf_low,PS,L0_W0,0.4297526727051755,47351314.98927055
2030,lambda_inf_band,lambda_inf_low,PS,L3_W3,0.05269285920901047,5805842.133302671
2030,lambda_inf_band,lambda_inf_low,PT,L0_W0,0.36220983484888286,39909261.934729956
2030,lambda_inf_band,lambda_inf_low,PT,L3_W3,0.04718936807881299,5199452.554835951
2030,lambda_inf_band,lambda_inf_low,PY,L0_W0,0.3087120563582091,34014731.6119925
2030,lambda_inf_band,lambda_inf_low,PY,L3_W3,0.05335720471287854,5879041.52265689
2030,lambda_inf_band,lambda_inf_low,RO,L0_W0,0.3167987875129584,34905749.582239725
2030,lambda_inf_band,lambda_inf_low,RO,L3_W3,0.0427648071715504,4711942.434444603
2030,lambda_inf_band,lambda_inf_low,RU,L0_W0,0.34962936732224653,38523111.90379177
2030,lambda_inf_band,lambda_inf_low,RU,L3_W3,0.08703358854613867,9589596.82543273
2030,lambda_inf_band,lambda_inf_low,RW,L0_W0,0.3670585884118097,40443510.752353966
2030,lambda_inf_band,lambda_inf_low,RW,L3_W3,0.0388087562032832,4276054.009754015
2030,lambda_inf_band,lambda_inf_low,SA,L0_W0,0.2691407896796643,29654662.130107854
2030,lambda_inf_band,lambda_inf_low,SA,L3_W3,0.03946039448834721,4347853.283277794
2030,lambda_inf_band,lambda_inf_low,SE,L0_W0,0.340252629590261,37489957.510302685
2030,lambda_inf_band,lambda_inf_low,SE,L3_W3,0.056380363969036285,6212141.408458555
2030,lambda_inf_band,lambda_inf_low,SK,L0_W0,0.3932763108990856,43332250.51976887
2030,lambda_inf_band,lambda_inf_low,SK,L3_W3,0.05123084551131294,5644753.499036523
2030,lambda_inf_band,lambda_inf_low,SN,L0_W0,0.28074093902918784,30932798.045620117
2030,lambda_inf_band,lambda_inf_low,SN,L3_W3,0.05044981543904307,5558697.487481441
2030,lambda_inf_band,lambda_inf_low,SR,L0_W0,0.2775436381497589,30580510.763485692
2030,lambda_inf_band,lambda_inf_low,SR,L3_W3,0.0688968569863368,7591242.554456068
2030,lambda_inf_band,lambda_inf_low,SV,L0_W0,0.41309068473254384,45515451.96630623
2030,lambda_inf_band,lambda_inf_low,SV,L3_W3,0.03517176852630386,3875320.843813032
2030,lambda_inf_band,lambda_inf_low,TH,L0_W0,0.3384227440969197,37288335.76390592
2030,lambda_inf_band,lambda_inf_low,TH,L3_W3,0.036833487617727735,4058413.559970905
2030,lambda_inf_band,lambda_inf_low,TN,L0_W0,0.2998278341197637,33035843.91130819
2030,lambda_inf_band,lambda_inf_low,TN,L3_W3,0.04926007248749513,5427608.382437855
2030,lambda_inf_band,lambda_inf_low,TR,L0_W0,0.3664769234934081,40379421.33414029
2030,lambda_inf_band,lambda_inf_low,TR,L3_W3,0.04685336345314502,5162430.653918603
2030,lambda_inf_band,lambda_inf_low,TW,L0_W0,0.4933364357141817,54357146.43992933
2030,lambda_inf_band,lambda_inf_low,TW,L3_W3,0.03898832175543145,4295839.029280414
2030,lambda_inf_band,lambda_inf_low,UA,L0_W0,0.3507168440870158,38642933.0430251
2030,lambda_inf_band,lambda_inf_low,UA,L3_W3,0.06362117581561445,7009953.695156257
2030,lambda_inf_band,lambda_inf_low,UG,L0_W0,0.38491453126583586,42410926.96221531
2030,lambda_inf_band,lambda_inf_low,UG,L3_W3,0.04892408506731122,5390588.377267403
2030,lambda_inf_band,lambda_inf_low,US,L0_W0,0.15850540477863806,17464555.373048488
2030,lambda_inf_band,lambda_inf_low,US,L3_W3,0.032724338244061485,3605656.337762963
2030,lambda_inf_band,lambda_inf_low,UY,L0_W0,0.2620914595977209,28877947.823545676
2030,lambda_inf_band,lambda_inf_low,UY,L3_W3,0.040942097908609476,4511111.3845756315
2030,lambda_inf_band,lambda_inf_low,UZ,L0_W0,0.3910961179100169,43092030.943441495
2030,lambda_inf_band,lambda_inf_low,UZ,L3_W3,0.07065912724850316,7785414.271306125
2030,lambda_inf_band,lambda_inf_low,VN,L0_W0,0.3353271892804823,36947259.13893227
2030,lambda_inf_band,lambda_inf_low,VN,L3_W3,0.04797323222078384,5285820.831876824
2030,lambda_inf_band,lambda_inf_low,ZA,L0_W0,0.23760414369077293,26179868.946099974
2030,lambda_inf_band,lambda_inf_low,ZA,L3_W3,0.043132924488355956,4752502.598762705
2030,lambda_inf_band,lambda_inf_low,ZM,L0_W0,0.2959585619604299,32609517.011134326
2030,lambda_inf_band,lambda_inf_low,ZM,L3_W3,0.037978806000970027,4184607.845596938
2030,lambda_inf_band,lambda_inf_mid,AE,L0_W0,0.33812589669976423,37255628.31262243
2030,lambda_inf_band,lambda_inf_mid,AE,L3_W3,0.043975500436565056,4845339.901844244
2030,lambda_inf_band,lambda_inf_mid,AF,L0_W0,0.3416885768094967,37648174.06927833
2030,lambda_inf_band,lambda_inf_mid,AF,L3_W3,0.07056855233610927,7775434.4818148995
2030,lambda_inf_band,lambda_inf_mid,AR,L0_W0,0.27054316753934066,29809179.92600547
2030,lambda_inf_band,lambda_inf_mid,AR,L3_W3,0.04447059194518908,4899890.426977225
2030,lambda_inf_band,lambda_inf_mid,AT,L0_W0,0.32842672777512094,36186947.57587689
2030,lambda_inf_band,lambda_inf_mid,AT,L3_W3,0.04670658974163003,5146258.72832628
2030,lambda_inf_band,lambda_inf_mid,AU,L0_W0,0.24195208893938733,26658937.34543599
2030,lambda_inf_band,lambda_inf_mid,AU,L3_W3,0.04883760776364744,5381060.073418982
2030,lambda_inf_band,lambda_inf_mid,BD,L0_W0,0.37578519383280823,41405031.80462734
2030,lambda_inf_band,lambda_inf_mid,BD,L3_W3,0.052777355651036834,5815152.180443688
2030,lambda_inf_band,lambda_inf_mid,BE,L0_W0,0.23743605542258792,26161348.524847608
2030,lambda_inf_band,lambda_inf_mid,BE,L3_W3,0.048434536855293774,5336648.627588232
2030,lambda_inf_band,lambda_inf_mid,BF,L0_W0,0.3476540721298491,38305468.52239465
2030,lambda_inf_band,lambda_inf_mid,BF,L3_W3,0.06071464762542296,6689704.536512003
2030,lambda_inf_band,lambda_inf_mid,BG,L0_W0,0.32218703575410873,35499441.38664679
2030,lambda_inf_band,lambda_inf_mid,BG,L3_W3,0.04473041040697508,4928517.929737392
2030,lambda_inf_band,lambda_inf_mid,BH,L0_W0,0.35759527468223523,39400817.18065213
2030,lambda_inf_band,lambda_inf_mid,BH,L3_W3,0.05510703426631784,6071842.488479577
2030,lambda_inf_band,lambda_inf_mid,BI,L0_W0,0.39455373877851574,43473000.98797239
2030,lambda_inf_band,lambda_inf_mid,BI,L3_W3,0.05656460721075394,6232441.828507838
2030,lambda_inf_band,lambda_inf_mid,BO,L0_W0,0.39144182814431955,43130122.23464031
2030,lambda_inf_band,lambda_inf_mid,BO,L3_W3,0.05390984429103489,5939932.8501641685
2030,lambda_inf_band,lambda_inf_mid,BR,L0_W0,0.20027341962625303,22066668.525891546
2030,lambda_inf_band,lambda_inf_mid,BR,L3_W3,0.04275093468369032,4710413.926109303
2030,lambda_inf_band,lambda_inf_mid,BY,L0_W0,0.32889392775361875,36238424.93657735
2030,lambda_inf_band,lambda_inf_mid,BY,L3_W3,0.0827355403994951,9116026.224115282
2030,lambda_inf_band,lambda_inf_mid,CA,L0_W0,0.20059903958385525,22102546.215917673
2030,lambda_inf_band,lambda_inf_mid,CA,L3_W3,0.045190852259906066,4979250.661834526
