country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,top2_label,top2_weight,top3_label,top3_weight
PS,L2,W0,L2_W0,0.17262111239109712,47,19,0.0,ET:WIND,0.16730570048520554,Asia-Pacific,EG:WIND,0.1395011809417269,LY:WIND,0.13597027809596338
PS,L2,W1,L2_W1,0.15109090531479993,47,19,0.056404941607787425,ET:WIND,0.16786336935471713,Asia-Pacific,LY:WIND,0.13504035617786103,EG:WIND,0.13494128983823397
PS,L2,W2,L2_W2,0.12133573022627005,47,18,0.13396958173751253,ET:WIND,0.17463203129633562,Asia-Pacific,LY:WIND,0.12688753217216503,EG:WIND,0.12345807897284285
PS,L2,W3,L2_W3,0.10728489829489522,47,18,0.1702470512324786,ET:WIND,0.18873957879015127,Asia-Pacific,LY:WIND,0.11747434502229709,EG:WIND,0.11612553984741278
PS,L3,W0,L3_W0,0.08670914899176799,461,82,0.0,MX:PV,0.08067734503969139,Asia-Pacific,MX:PV,0.052850894579309894,US:PV,0.04474274123335022
PS,L3,W1,L3_W1,0.06918071703898182,461,79,0.05009256665232428,MX:PV,0.09084975294541306,Asia-Pacific,MX:PV,0.05030145480160565,US:PV,0.04414983626181257
PS,L3,W2,L3_W2,0.05810866186211572,461,80,0.08345467475055178,MX:PV,0.09878378353218582,Asia-Pacific,US:PV,0.05622347104099836,MX:PV,0.045329566711225885
PS,L3,W3,L3_W3,0.056831148658518835,461,83,0.0866791224039072,MX:PV,0.10007793630579177,Asia-Pacific,US:PV,0.06202693784623837,MX:PV,0.04413840124479812
PT,L0,W0,L0_W0,0.3531970663886176,2,2,0.0,PT:PV,0.6161667869120643,Europe,PT:WIND,0.38383321308793555,,
PT,L0,W1,L0_W1,0.32936741300146444,2,2,0.053105475601149636,PT:PV,0.6227931852833594,Europe,PT:WIND,0.3772068147166406,,
PT,L0,W2,L0_W2,0.2831140311219049,2,2,0.14801740817902023,PT:PV,0.6355342494150489,Europe,PT:WIND,0.36446575058495095,,
PT,L0,W3,L0_W3,0.2219306733383592,2,2,0.2620037675649779,PT:PV,0.6494841285000472,Europe,PT:WIND,0.3505158714999529,,
PT,L1,W0,L1_W0,0.19691415512143487,37,21,0.0,MA:PV,0.12854866079737912,Europe,IE:WIND,0.11394757158442677,ES:WIND,0.108346153573149
PT,L1,W1,L1_W1,0.1753235927521129,37,21,0.056251359410708024,MA:PV,0.14380237805385696,Europe,IE:WIND,0.11275329865440556,ES:WIND,0.10782696319463489
PT,L1,W2,L1_W2,0.1442685823620104,37,20,0.13777968059960793,MA:PV,0.17593197213665282,Europe,IE:WIND,0.10760247436007847,ES:WIND,0.10494640662981466
PT,L1,W3,L1_W3,0.12402650954915109,37,21,0.19138668708556553,MA:PV,0.20328565235468557,Europe,ES:WIND,0.10249615813863787,IE:WIND,0.100084040506721
PT,L2,W0,L2_W0,0.1743191055407998,99,38,0.0,SN:PV,0.10368954028481286,Europe,MR:WIND,0.0946597230380517,GB:WIND,0.08850676540796146
PT,L2,W1,L2_W1,0.15366999811059093,99,37,0.05842608286141609,SN:PV,0.11951869847537695,Europe,MR:WIND,0.09238801321000337,GB:WIND,0.08836161417416538
PT,L2,W2,L2_W2,0.12563057505375222,99,37,0.13742577023162345,SN:PV,0.15486780155064028,Europe,MR:WIND,0.0911068022645072,GB:WIND,0.0875414787517111
PT,L2,W3,L2_W3,0.11239567549635454,99,36,0.17364584481619044,SN:PV,0.17423540118445682,Europe,GB:WIND,0.0909539396531065,MR:WIND,0.08871487737820694
PT,L3,W0,L3_W0,0.0785083612321339,461,70,0.0,MX:PV,0.12804123825709068,Europe,CL:PV,0.10173101590376998,EG:PV,0.09636120008511856
PT,L3,W1,L3_W1,0.061860947412867934,461,65,0.04954317909971868,MX:PV,0.1406826666885366,Europe,CL:PV,0.11208040959012082,EG:PV,0.09890488024772442
PT,L3,W2,L3_W2,0.05271726110141676,461,64,0.07747434619605731,MX:PV,0.15788698193407513,Europe,CL:PV,0.11675630949593586,EG:PV,0.09980686266145966
PT,L3,W3,L3_W3,0.05230247300193933,461,65,0.0785083612321339,MX:PV,0.1585605058574195,Europe,CL:PV,0.1169125383911605,EG:PV,0.1001975413772949
PY,L0,W0,L0_W0,0.3052637353557841,2,2,0.0,PY:PV,0.5894086814481607,Latin America,PY:WIND,0.41059131855184017,,
PY,L0,W1,L0_W1,0.282332060126257,2,2,0.05480025079549279,PY:PV,0.5979001332450531,Latin America,PY:WIND,0.4020998667549475,,
PY,L0,W2,L0_W2,0.23983320608024214,2,2,0.15016776079797145,PY:PV,0.6155605563812193,Latin America,PY:WIND,0.38443944361878146,,
PY,L0,W3,L0_W3,0.18982446579550272,2,2,0.2534669896076923,PY:PV,0.6368266956723467,Latin America,PY:WIND,0.36317330432765377,,
PY,L1,W0,L1_W0,0.2048493074381498,15,12,0.0,AR:WIND,0.21432933732940573,Latin America,CL:WIND,0.15549039249381438,UY:WIND,0.13637917670920707
PY,L1,W1,L1_W1,0.1826453869596934,15,12,0.054404446729067565,AR:WIND,0.2133572466962353,Latin America,CL:WIND,0.15459686121455243,UY:WIND,0.13416337630073757
PY,L1,W2,L1_W2,0.1498425579188353,15,13,0.1350015496493268,AR:WIND,0.21220259180042655,Latin America,CL:WIND,0.15071012593511496,CL:PV,0.13088940114037698
PY,L1,W3,L1_W3,0.1262599787735236,15,12,0.1937049249049025,AR:WIND,0.21456040060279424,Latin America,CL:WIND,0.14607337779494575,CL:PV,0.14111272022257862
PY,L2,W0,L2_W0,0.1606962529484049,32,16,0.0,BR:WIND,0.24203920611737195,Latin America,BR:WIND,0.1255593293176774,PE:WIND,0.10959970619156927
PY,L2,W1,L2_W1,0.13945953715216464,32,15,0.054691361635254745,BR:WIND,0.24379200999271805,Latin America,BR:WIND,0.12212449635646057,PE:WIND,0.10907209367674453
PY,L2,W2,L2_W2,0.11266676515564586,32,15,0.12583782674245303,BR:WIND,0.2580415284071216,Latin America,BR:WIND,0.10519019899470047,PE:WIND,0.10254672046496588
PY,L2,W3,L2_W3,0.10048869439763175,32,14,0.15879508503032477,BR:WIND,0.2754060854450157,Latin America,PY:PV,0.10805563510497751,PE:WIND,0.09756695914464464
PY,L3,W0,L3_W0,0.08864280362709522,461,64,0.0,US:PV,0.1764899639682803,Latin America,MX:PV,0.08401344639019244,CV:PV,0.06924654177584647
PY,L3,W1,L3_W1,0.07043185701856504,461,64,0.051218754933071785,US:PV,0.17785257791564943,Latin America,MX:PV,0.08897783155241772,CL:PV,0.07333923712081263
PY,L3,W2,L3_W2,0.058424069626430396,461,62,0.08639250917553312,US:PV,0.1902940335537082,Latin America,MX:PV,0.09131805696210589,CV:PV,0.0820172614420113
PY,L3,W3,L3_W3,0.05762169712284169,461,62,0.08864280362709522,US:PV,0.19376441568317915,Latin America,MX:PV,0.09084888974611346,CV:PV,0.08175421299379836
RO,L0,W0,L0_W0,0.3165185963045798,2,2,0.0,RO:WIND,0.5742811527658367,Europe,RO:PV,0.42571884723416237,,
RO,L0,W1,L0_W1,0.2926153593101006,2,2,0.054801392679366366,RO:WIND,0.5692802117176444,Europe,RO:PV,0.43071978828235463,,
RO,L0,W2,L0_W2,0.24751937280539552,2,2,0.15099221802156781,RO:WIND,0.5594280770922141,Europe,RO:PV,0.44057192290778496,,
RO,L0,W3,L0_W3,0.19423083185144502,2,2,0.2579769005572104,RO:WIND,0.5472919506638838,Europe,RO:PV,0.45270804933611525,,
RO,L1,W0,L1_W0,0.2211608769898873,23,13,0.0,IT:PV,0.1423151873700856,Europe,PL:WIND,0.13966257917278913,AT:WIND,0.13775058297375337
RO,L1,W1,L1_W1,0.19881508778682952,23,13,0.05539985143765681,IT:PV,0.14449411697738487,Europe,PL:WIND,0.1378775216010329,AT:WIND,0.13697935864838476
RO,L1,W2,L1_W2,0.16444224463389281,23,12,0.1407155550977187,IT:PV,0.15219560835787924,Europe,AT:WIND,0.13756608294823278,PL:WIND,0.13358121204679926
RO,L1,W3,L1_W3,0.13782126699028457,23,11,0.20790036570048498,IT:PV,0.16550279741905005,Europe,AT:WIND,0.14004495706416473,PL:WIND,0.13074223304602248
RO,L2,W0,L2_W0,0.15778866124583174,115,39,0.0,PT:PV,0.11656142045205643,Europe,GB:WIND,0.07492127745983969,GB:WIND,0.07363633356914555
RO,L2,W1,L2_W1,0.13784832289838073,115,39,0.05771300766884774,PT:PV,0.12247604172805839,Europe,GB:WIND,0.0732730909396845,GB:WIND,0.07261597811542175
RO,L2,W2,L2_W2,0.11280881834222302,115,37,0.13033239328384574,PT:PV,0.13154803490266956,Europe,GB:WIND,0.07075184675876998,GB:WIND,0.07061847285007344
RO,L2,W3,L2_W3,0.10312299872771721,115,36,0.15750358364694328,PT:PV,0.14312357079818755,Europe,EG:PV,0.07733455181651076,GB:WIND,0.07259153504911912
RO,L3,W0,L3_W0,0.06672046472779819,461,89,0.0,CL:PV,0.08988393726094977,Europe,EG:PV,0.08619599353411371,OM:PV,0.08005317315248937
RO,L3,W1,L3_W1,0.05295944471584349,461,82,0.04720838784410184,CL:PV,0.08789616836505391,Europe,OM:PV,0.08642309769486971,CL:PV,0.07370170138524275
RO,L3,W2,L3_W2,0.04792428378510063,461,78,0.06640685830947135,OM:PV,0.10778803416474388,Europe,CL:PV,0.08956547224011221,CL:PV,0.08619885593269144
RO,L3,W3,L3_W3,0.047827653511475846,461,78,0.0667204647277982,OM:PV,0.10997042313855222,Europe,CL:PV,0.08928483940804992,CL:PV,0.08585014918253857
RU,L0,W0,L0_W0,0.35241566500177723,2,2,0.0,RU:WIND,0.6096194954713519,Europe,RU:PV,0.3903805045286441,,
RU,L0,W1,L0_W1,0.32919145585858467,2,2,0.05842798403523706,RU:WIND,0.6030913342481679,Europe,RU:PV,0.3969086657518282,,
RU,L0,W2,L0_W2,0.28568711942914854,2,2,0.1622065287126888,RU:WIND,0.589166298340142,Europe,RU:PV,0.41083370165985417,,
RU,L0,W3,L0_W3,0.2321131192652646,2,2,0.2805034576056158,RU:WIND,0.5726670860140614,Europe,RU:PV,0.42733291398593487,,
RU,L1,W0,L1_W0,0.35241566500177723,2,2,0.0,RU:WIND,0.6096194954713519,Europe,RU:PV,0.3903805045286441,,
RU,L1,W1,L1_W1,0.32919145585858467,2,2,0.05842798403523706,RU:WIND,0.6030913342481679,Europe,RU:PV,0.3969086657518282,,
RU,L1,W2,L1_W2,0.28568711942914854,2,2,0.1622065287126888,RU:WIND,0.589166298340142,Europe,RU:PV,0.41083370165985417,,
RU,L1,W3,L1_W3,0.2321131192652646,2,2,0.2805034576056158,RU:WIND,0.5726670860140614,Europe,RU:PV,0.42733291398593487,,
RU,L2,W0,L2_W0,0.2080870709445147,53,20,0.0,FI:WIND,0.12401428068747247,Europe,AT:WIND,0.10317231996244244,DE:WIND,0.10041447670289107
RU,L2,W1,L2_W1,0.18686548454172222,53,20,0.05998515504663525,FI:WIND,0.124605955447391,Europe,AT:WIND,0.10425055061497117,DE:WIND,0.10201033710521594
RU,L2,W2,L2_W2,0.15443420491072893,53,24,0.14990903756798377,FI:WIND,0.12856574150396036,Europe,AT:WIND,0.10782339021383605,DE:WIND,0.09798415223009005
RU,L2,W3,L2_W3,0.13451612952702624,53,24,0.2044631157988157,FI:WIND,0.13515257889310686,Europe,AT:WIND,0.11492806515070762,DE:WIND,0.10871897513461597
RU,L3,W0,L3_W0,0.1336887478787587,461,72,0.0,IN:PV,0.05874767559795112,Europe,MG:PV,0.05377199015907374,MX:PV,0.051799486068172765
RU,L3,W1,L3_W1,0.1161709033655421,461,77,0.06484117341166833,IN:PV,0.05925708658798591,Europe,MX:PV,0.048518074347036956,MG:PV,0.046344779803206414
