country,region,continent,tau_ms,phi,reach_km,n_partners,uncovered_share,uncovered_share_baseline,migrated_share
LC,North America,Americas,200,1.0,10286,26,0.22192585743944082,0.49362954141947557,0.2717036839800348
LC,North America,Americas,300,0.0,17429,38,0.49362954141947557,0.49362954141947557,0.0
LC,North America,Americas,300,0.2,17429,38,0.41844282525542126,0.49362954141947557,0.07518671616405437
LC,North America,Americas,300,0.4,17429,38,0.34564035243222935,0.49362954141947557,0.14798918898724628
LC,North America,Americas,300,0.6,17429,38,0.27509536225508213,0.49362954141947557,0.21853417916439355
LC,North America,Americas,300,0.8,17429,38,0.20791962817011314,0.49362954141947557,0.28570991324936246
LC,North America,Americas,300,1.0,17429,38,0.14396392183315726,0.49362954141947557,0.3496656195863183
LC,North America,Americas,500,0.0,31714,39,0.49362954141947557,0.49362954141947557,0.0
LC,North America,Americas,500,0.2,31714,39,0.41844282525542126,0.49362954141947557,0.07518671616405437
LC,North America,Americas,500,0.4,31714,39,0.34564035243222935,0.49362954141947557,0.14798918898724622
LC,North America,Americas,500,0.6,31714,39,0.2750953622550821,0.49362954141947557,0.21853417916439355
LC,North America,Americas,500,0.8,31714,39,0.20791962817011314,0.49362954141947557,0.28570991324936246
LC,North America,Americas,500,1.0,31714,39,0.14396392183315726,0.49362954141947557,0.3496656195863183
LK,Asia-Pacific,Asia,50,0.0,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,50,0.2,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,50,0.4,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,50,0.6,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,50,0.8,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,50,1.0,0,0,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,100,0.0,3143,3,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,100,0.2,3143,3,0.2530480487522037,0.2813254557897936,0.02827740703758989
LK,Asia-Pacific,Asia,100,0.4,3143,3,0.23620158765460078,0.2813254557897936,0.04512386813519285
LK,Asia-Pacific,Asia,100,0.6,3143,3,0.22591661843861113,0.2813254557897936,0.055408837351182474
LK,Asia-Pacific,Asia,100,0.8,3143,3,0.2204823105777299,0.2813254557897936,0.06084314521206373
LK,Asia-Pacific,Asia,100,1.0,3143,3,0.21848311715595015,0.2813254557897936,0.06284233863384349
LK,Asia-Pacific,Asia,150,0.0,6714,16,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,150,0.2,6714,16,0.23794925220980037,0.2813254557897936,0.043376203579993236
LK,Asia-Pacific,Asia,150,0.4,6714,16,0.2082908312509883,0.2813254557897936,0.07303462453880533
LK,Asia-Pacific,Asia,150,0.6,6714,16,0.18838912703985974,0.2813254557897936,0.09293632874993385
LK,Asia-Pacific,Asia,150,0.8,6714,16,0.17729575294402392,0.2813254557897936,0.1040297028457697
LK,Asia-Pacific,Asia,150,1.0,6714,16,0.17317545062938078,0.2813254557897936,0.10815000516041283
LK,Asia-Pacific,Asia,200,0.0,10286,33,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,200,0.2,10286,33,0.22837180627940434,0.2813254557897936,0.05295364951038925
LK,Asia-Pacific,Asia,200,0.4,10286,33,0.19106830831129815,0.2813254557897936,0.09025714747849549
LK,Asia-Pacific,Asia,200,0.6,10286,33,0.16539690784388725,0.2813254557897936,0.11592854794590639
LK,Asia-Pacific,Asia,200,0.8,10286,33,0.1508718710554618,0.2813254557897936,0.13045358473433183
LK,Asia-Pacific,Asia,200,1.0,10286,33,0.14543452714251448,0.2813254557897936,0.13589092864727917
LK,Asia-Pacific,Asia,300,0.0,17429,39,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,300,0.2,17429,39,0.2216798291535166,0.2813254557897936,0.059645626636277024
LK,Asia-Pacific,Asia,300,0.4,17429,39,0.17721142174868748,0.2813254557897936,0.10411403404110611
LK,Asia-Pacific,Asia,300,0.6,17429,39,0.1449565749019427,0.2813254557897936,0.1363688808878509
LK,Asia-Pacific,Asia,300,0.8,17429,39,0.12641646768730094,0.2813254557897936,0.15490898810249268
LK,Asia-Pacific,Asia,300,1.0,17429,39,0.1194693876964677,0.2813254557897936,0.1618560680933259
LK,Asia-Pacific,Asia,500,0.0,31714,39,0.2813254557897936,0.2813254557897936,0.0
LK,Asia-Pacific,Asia,500,0.2,31714,39,0.2216798291535166,0.2813254557897936,0.059645626636277024
LK,Asia-Pacific,Asia,500,0.4,31714,39,0.17721142174868748,0.2813254557897936,0.10411403404110611
LK,Asia-Pacific,Asia,500,0.6,31714,39,0.1449565749019427,0.2813254557897936,0.1363688808878509
