country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
KZ,Asia-Pacific,Asia,D3,,1,0.2,0.35200943557641085,0.5292209121209939,0.5241842601113645,0.3306332600326596,0.014642936793233672
KZ,Asia-Pacific,Asia,D0,0.0,3,0.2,0.5171487759030872,0.5292209121209939,0.5171487759030872,0.0,0.03896528980634887
KZ,Asia-Pacific,Asia,D1,500.0,3,0.2,0.5171487759030872,0.5292209121209939,0.5171487759030872,0.0,0.03896528980634887
KZ,Asia-Pacific,Asia,D2,3000.0,3,0.2,0.49673602058336513,0.5292209121209939,0.5171487759030872,0.049753708319861985,0.03896528980634887
KZ,Asia-Pacific,Asia,D3,,3,0.2,0.34877345729732967,0.5292209121209939,0.5171487759030872,0.32532383771050094,0.03896528980634887
KZ,Asia-Pacific,Asia,D0,0.0,6,0.2,0.5047236752341262,0.5292209121209939,0.5047236752341262,0.0,0.06862197958533939
KZ,Asia-Pacific,Asia,D1,500.0,6,0.2,0.5047236752341262,0.5292209121209939,0.5047236752341262,0.0,0.06862197958533939
KZ,Asia-Pacific,Asia,D2,3000.0,6,0.2,0.48352705815656405,0.5292209121209939,0.5047236752341262,0.05022295672370041,0.06862197958533939
KZ,Asia-Pacific,Asia,D3,,6,0.2,0.3367536498886049,0.5292209121209939,0.5047236752341262,0.318411361410827,0.06862197958533939
KZ,Asia-Pacific,Asia,D0,0.0,12,0.2,0.45712754039468895,0.5292209121209939,0.45712754039468895,0.0,0.09716911312008551
KZ,Asia-Pacific,Asia,D1,500.0,12,0.2,0.45712754039468895,0.5292209121209939,0.45712754039468895,0.0,0.09716911312008551
KZ,Asia-Pacific,Asia,D2,3000.0,12,0.2,0.43593710480680287,0.5292209121209939,0.45712754039468895,0.046472655878283156,0.09716911312008551
KZ,Asia-Pacific,Asia,D3,,12,0.2,0.2970804213327458,0.5292209121209939,0.45712754039468895,0.29103224648517784,0.09716911312008551
KZ,Asia-Pacific,Asia,D0,0.0,24,0.2,0.4549055033362685,0.5292209121209939,0.4549055033362685,0.0,0.07680666673796284
KZ,Asia-Pacific,Asia,D1,500.0,24,0.2,0.4549055033362685,0.5292209121209939,0.4549055033362685,0.0,0.07680666673796284
KZ,Asia-Pacific,Asia,D2,3000.0,24,0.2,0.4339131864332494,0.5292209121209939,0.4549055033362685,0.046553189845679674,0.07680666673796284
KZ,Asia-Pacific,Asia,D3,,24,0.2,0.2980801631461588,0.5292209121209939,0.4549055033362685,0.2885136479937114,0.07680666673796284
KZ,Asia-Pacific,Asia,D0,0.0,168,0.2,0.4537049767921299,0.5292209121209939,0.4537049767921299,0.0,0.08294253808020584
KZ,Asia-Pacific,Asia,D1,500.0,168,0.2,0.4537049767921299,0.5292209121209939,0.4537049767921299,0.0,0.08294253808020584
KZ,Asia-Pacific,Asia,D2,3000.0,168,0.2,0.4330577832504854,0.5292209121209939,0.4537049767921299,0.045977174029379786,0.08294253808020584
KZ,Asia-Pacific,Asia,D3,,168,0.2,0.2987421223440702,0.5292209121209939,0.4537049767921299,0.28608641182446093,0.08294253808020584
LC,North America,Americas,D0,0.0,0,0.2,0.49362954141947557,0.49362954141947557,0.49362954141947557,0.0,0.0
LC,North America,Americas,D1,500.0,0,0.2,0.49362954141947557,0.49362954141947557,0.49362954141947557,0.0,0.0
LC,North America,Americas,D2,3000.0,0,0.2,0.49362954141947557,0.49362954141947557,0.49362954141947557,0.0,0.0
LC,North America,Americas,D3,,0,0.2,0.3131792879607314,0.49362954141947557,0.49362954141947557,0.3158499146054479,0.0
LC,North America,Americas,D0,0.0,1,0.2,0.4850317253451131,0.49362954141947557,0.4850317253451131,0.0,0.018684552503677305
