country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
MU,Africa/MENA,EurAfrMENA,300,0.0,17429,0.48560943090431985,0.48560943090431985,0.0
MU,Africa/MENA,EurAfrMENA,300,0.2,17429,0.43345297983383196,0.48560943090431985,0.10900677720483185
MU,Africa/MENA,EurAfrMENA,300,0.4,17429,0.3745694597024857,0.48560943090431985,0.21197448489765017
MU,Africa/MENA,EurAfrMENA,300,0.6,17429,0.30792009944583165,0.48560943090431985,0.30912412495955244
MU,Africa/MENA,EurAfrMENA,300,0.8,17429,0.23511531425501558,0.48560943090431985,0.3998707143669258
MU,Africa/MENA,EurAfrMENA,300,1.0,17429,0.1636403594132024,0.48560943090431985,0.48157321288069754
MU,Africa/MENA,EurAfrMENA,500,0.0,31714,0.48560943090431985,0.48560943090431985,0.0
MU,Africa/MENA,EurAfrMENA,500,0.2,31714,0.43345216273317977,0.48560943090431985,0.10900833834969997
MU,Africa/MENA,EurAfrMENA,500,0.4,31714,0.3745312383714667,0.48560943090431985,0.21203546742669477
MU,Africa/MENA,EurAfrMENA,500,0.6,31714,0.3075908072886366,0.48560943090431985,0.30956376465865093
MU,Africa/MENA,EurAfrMENA,500,0.8,31714,0.23384365443549562,0.48560943090431985,0.40136828126690643
MU,Africa/MENA,EurAfrMENA,500,1.0,31714,0.16043121507376024,0.48560943090431985,0.48519177405724406
MX,North America,Americas,50,0.0,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,50,0.2,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,50,0.4,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,50,0.6,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,50,0.8,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,50,1.0,0,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,100,0.0,3143,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,100,0.2,3143,0.2284316395886987,0.23686513396758385,0.01703220704728043
MX,North America,Americas,100,0.4,3143,0.22661138211444068,0.23686513396758385,0.02073942279595902
MX,North America,Americas,100,0.6,3143,0.22600211628967393,0.23686513396758385,0.021988905605804198
MX,North America,Americas,100,0.8,3143,0.2257329301776509,0.23686513396758385,0.02254119248146381
MX,North America,Americas,100,1.0,3143,0.22562516011559322,0.23686513396758385,0.02276214677043275
MX,North America,Americas,150,0.0,6714,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,150,0.2,6714,0.21363021027097348,0.23686513396758385,0.047490216567139434
MX,North America,Americas,150,0.4,6714,0.203354890563857,0.23686513396758385,0.06813356292805246
MX,North America,Americas,150,0.6,6714,0.19788011279220397,0.23686513396758385,0.0790641777746223
MX,North America,Americas,150,0.8,6714,0.19475767070530156,0.23686513396758385,0.0852820908017428
MX,North America,Americas,150,1.0,6714,0.19337209724427012,0.23686513396758385,0.0880367828121482
MX,North America,Americas,200,0.0,10286,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,200,0.2,10286,0.19294553562837458,0.23686513396758385,0.08968910411510819
MX,North America,Americas,200,0.4,10286,0.16299207180515288,0.23686513396758385,0.14849384296508833
MX,North America,Americas,200,0.6,10286,0.14178265893481964,0.23686513396758385,0.18937287795246158
MX,North America,Americas,200,0.8,10286,0.12662198632719898,0.23686513396758385,0.21882099836273122
MX,North America,Americas,200,1.0,10286,0.11858499348086232,0.23686513396758385,0.23466585067392254
MX,North America,Americas,300,0.0,17429,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,300,0.2,17429,0.192896447461428,0.23686513396758385,0.08978271565126972
MX,North America,Americas,300,0.4,17429,0.16281077055315799,0.23686513396758385,0.14883996698412014
MX,North America,Americas,300,0.6,17429,0.14138242073470542,0.23686513396758385,0.1901461515657025
MX,North America,Americas,300,0.8,17429,0.12583642376770074,0.23686513396758385,0.22036056317111882
MX,North America,Americas,300,1.0,17429,0.11747740284021545,0.23686513396758385,0.23686513396758385
MX,North America,Americas,500,0.0,31714,0.23686513396758385,0.23686513396758385,0.0
MX,North America,Americas,500,0.2,31714,0.192896447461428,0.23686513396758385,0.08978271565126972
MX,North America,Americas,500,0.4,31714,0.16281077055315799,0.23686513396758385,0.14883996698412014
MX,North America,Americas,500,0.6,31714,0.14138242073470542,0.23686513396758385,0.1901461515657025
MX,North America,Americas,500,0.8,31714,0.12583642376770074,0.23686513396758385,0.22036056317111882
MX,North America,Americas,500,1.0,31714,0.11747740284021545,0.23686513396758385,0.23686513396758385
MY,Asia-Pacific,Asia,50,0.0,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,50,0.2,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,50,0.4,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,50,0.6,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,50,0.8,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,50,1.0,0,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,100,0.0,3143,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,100,0.2,3143,0.5227703539796845,0.5302750662268187,0.019259058133093837
MY,Asia-Pacific,Asia,100,0.4,3143,0.5179896392798363,0.5302750662268187,0.03122457172192971
MY,Asia-Pacific,Asia,100,0.6,3143,0.515351648064095,0.5302750662268187,0.0377270536609708
MY,Asia-Pacific,Asia,100,0.8,3143,0.5139908292683153,0.5302750662268187,0.04105268517439631
MY,Asia-Pacific,Asia,100,1.0,3143,0.513597643601104,0.5302750662268187,0.042010385819383586
MY,Asia-Pacific,Asia,150,0.0,6714,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,150,0.2,6714,0.4971445203535385,0.5302750662268187,0.08084003499778153
MY,Asia-Pacific,Asia,150,0.4,6714,0.46750630805938925,0.5302750662268187,0.14494874453491793
MY,Asia-Pacific,Asia,150,0.6,6714,0.4414314810720001,0.5302750662268187,0.19601554284741488
