country,x_peak,y_solar,reach,phase_lag,migrated_share
MG,11.0,12.675443255366185,-1.6754432553661847,-1.0,0.33876274229098763
MM,20.0,13.34707319527724,6.65292680472276,8.0,0.3850814722360905
MN,21.0,13.176131459762733,7.823868540237267,8.0,0.14861072107197595
MR,19.0,13.122236666431576,5.877763333568424,5.0,0.1291156774297809
MU,21.0,12.656612472900946,8.343387527099054,9.0,0.38374551109304106
MX,21.0,12.502288109726576,8.497711890273422,9.0,0.12808227198070696
MY,20.0,13.633377869658554,6.366622130341447,8.0,0.3637218575407194
NE,20.0,13.423079153543247,6.576920846456751,8.0,0.3848709541545136
NG,18.0,13.088034098976443,4.911965901023557,6.0,0.3521441928498827
NI,21.0,12.667078524084992,8.332921475915008,9.0,0.37026672842446895
NL,19.0,12.602527142972853,6.397472857027147,3.0,0.10582464643824872
NO,20.0,12.551233861348647,7.448766138651351,5.0,0.25613842600090164
NP,21.0,12.989592174733582,8.01040782526642,9.0,0.3450659060392634
NZ,14.0,12.58567439453731,1.4143256054626896,2.0,0.20652987482263063
OM,21.0,12.737804169019935,8.262195830980065,8.0,0.4286137305041436
PA,15.0,12.340828728631315,2.6591712713686846,3.0,0.3844769977663728
PE,21.0,12.007432162415556,8.992567837584446,8.0,0.12118269981472198
PH,21.0,12.993085391842722,8.006914608157278,9.0,0.1576755251906664
PK,21.0,12.676618499191907,8.323381500808093,8.0,0.1611168418194456
PL,20.0,12.712999197710824,7.287000802289178,8.0,0.1699790429876019
PS,22.0,12.861293894627943,9.138706105372059,10.0,0.4439259166423967
PT,20.0,13.401744278358457,6.598255721641543,8.0,0.21346419090973193
PY,14.0,12.302955480817179,1.6970445191828212,2.0,0.15046899362377308
RO,20.0,12.737959405710928,7.262040594289072,7.0,0.18258417415098463
RU,21.0,12.739271992216409,8.260728007783591,9.0,0.19760940339478786
RW,15.0,12.944448654945923,2.055551345054077,3.0,0.3644521255473135
SA,21.0,12.698122086298266,8.301877913701734,8.0,0.4565070736353901
SE,20.0,12.518665093600527,7.481334906399475,6.0,0.2520020813909412
SK,20.0,13.045419107500045,6.954580892499955,8.0,0.38292208979959647
SN,19.0,13.376447077980787,5.623552922019215,6.0,0.3434442462805293
SR,21.0,12.153694517390718,8.846305482609282,9.0,0.3414660762343632
SV,14.0,12.613479934797684,1.3865200652023155,2.0,0.36549850491351177
TH,21.0,12.97968949775313,8.020310502246872,9.0,0.2038916932971947
TN,21.0,12.936359207397025,8.063640792602975,8.0,0.1981170409096905
TR,20.0,12.920930060038012,7.07906993996199,8.0,0.23821368017455455
TW,22.0,13.375660246232167,8.624339753767835,10.0,0.3579581858044159
UA,20.0,12.953412278001183,7.046587721998819,8.0,0.38194948609669394
UG,21.0,12.876604340914895,8.123395659085105,9.0,0.3837518511809444
US,13.0,12.356038328807834,0.6439616711921659,0.0,0.05033597990732695
UY,20.0,12.250439102505075,7.7495608974949235,-3.0,0.12690218604768236
UZ,20.0,12.642621103079243,7.357378896920757,8.0,0.3790061584673126
VN,21.0,13.0725425808725,7.927457419127499,9.0,0.2036539952502149
ZA,20.0,12.565934022042786,7.434065977957214,7.0,0.12455801998887064
ZM,21.0,12.84510579102179,8.15489420897821,9.0,0.3799927728056119
