year,lambda,lambda_inf,lambda_train,country,region,continent,perturbation,scenario,uncovered_share,annual_unmet_mwh_per_100mw,storage_cost_usd_yr_per_100mw_mid,storage_cost_usd_yr_per_100mw_low
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W0,0.1547721836726364,135580.43289722948,19556713.95638497,13901760.523213416
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W1,0.13361403138686626,117045.89149489484,16883210.73197065,12001318.472123716
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W2,0.10739241452360933,94075.75512268176,13569897.911152055,9646072.009132184
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W3,0.09564530932837666,83785.29097165795,12085556.405674245,8590937.685961211
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W0,0.05172435967022911,45310.5390711207,6535790.10545865,4645923.087012775
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W1,0.03858449822417899,33800.020444380796,4875462.612306108,3465690.2906754264
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W2,0.03534291532514175,30960.393824824172,4465862.46311865,3174528.738843378
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W3,0.03531174614788101,30933.089625543766,4461923.986129572,3171729.0985740325
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L0_W0,0.5084923563531986,445439.30416540196,64252111.240101665,45673187.50802408
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L0_W1,0.48330027565554895,423371.0414742609,61068888.61909006,43410414.80152185
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L0_W2,0.42751366837344246,374501.9734951356,54019800.757663,38399617.4060496
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L0_W3,0.32716504060304774,286596.5755682698,41339942.125104815,29386223.92025523
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L1_W0,0.24400914847295008,213752.01406230425,30832524.334734477,21917095.611437764
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L1_W1,0.22096168747165226,193562.43822516737,27920291.71303368,19846954.35022876
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L1_W2,0.18359350432606453,160827.90978963254,23198520.32293815,16490514.446425917
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P2_sharpen,L1_W3,0.1496611264593688,131103.14677840707,18910890.64651935,13442681.30294749
