year,perturbation,scenario,mean_uncovered_share,global_annual_unmet_gwh,global_storage_cost_musd_yr_mid,global_storage_cost_usd_yr_low,global_fleet_gw,ai_share,capex_year_used
2025,P1_flatten,L1_W1,0.23279324377885163,167831.82351587553,24208.795437070283,17208.66181671261,82.3,0.2,2025
2025,P1_flatten,L1_W2,0.19536201884811916,140845.8567645138,20316.22169825549,14441.651568639447,82.3,0.2,2025
2025,P1_flatten,L1_W3,0.15700414354353465,113191.82327942422,16327.28309515976,11606.140995354528,82.3,0.2,2025
2025,P1_flatten,L2_W0,0.16491654136225614,118896.25066203582,17150.114621972098,12191.045333691012,82.3,0.2,2025
2025,P1_flatten,L2_W1,0.1432778044983529,103295.8465974785,14899.844185633883,10591.455505450593,82.3,0.2,2025
2025,P1_flatten,L2_W2,0.11487314024547604,82817.56071369545,11945.966765506502,8491.711315239561,82.3,0.2,2025
2025,P1_flatten,L2_W3,0.09881095638601803,71237.56138458694,10275.617072301378,7304.354304407005,82.3,0.2,2025
2025,P1_flatten,L3_W0,0.06307384536537966,45472.96266847974,6559.218794727739,4662.577215529357,82.3,0.2,2025
2025,P1_flatten,L3_W1,0.04739153245676663,34166.83054164099,4928.372903231856,3503.301220369633,82.3,0.2,2025
2025,P1_flatten,L3_W2,0.04066858953437386,29319.938287627763,4229.235989714215,3006.324378230587,82.3,0.2,2025
2025,P1_flatten,L3_W3,0.04026991956000577,29032.51796694704,4187.777226995365,2976.8536914786328,82.3,0.2,2025
2025,P2_sharpen,L0_W0,0.40453248816954723,291646.8882808587,42068.42129425794,29904.05851037613,82.3,0.2,2025
2025,P2_sharpen,L0_W1,0.38073722434795315,274491.74041920813,39593.88782035984,28145.052787966637,82.3,0.2,2025
2025,P2_sharpen,L0_W2,0.33333735432201944,240318.89892375126,34664.647870889305,24641.135233523728,82.3,0.2,2025
2025,P2_sharpen,L0_W3,0.2625823180416718,189308.1970275072,27306.641377021155,19410.745075231906,82.3,0.2,2025
2025,P2_sharpen,L1_W0,0.2726294164719159,196551.63254659486,28351.46616096098,20153.45184935781,82.3,0.2,2025
2025,P2_sharpen,L1_W1,0.2497958759669167,180089.83718659665,25976.944880976127,18465.53913226014,82.3,0.2,2025
2025,P2_sharpen,L1_W2,0.21112025340428073,152206.7244513094,21954.962886044825,15606.539882851142,82.3,0.2,2025
2025,P2_sharpen,L1_W3,0.17088297711207284,123197.7405829947,17770.580320250487,12632.099263792517,82.3,0.2,2025
2025,P2_sharpen,L2_W0,0.185607645188143,133813.46058310132,19301.838150357347,13720.583745434742,82.3,0.2,2025
2025,P2_sharpen,L2_W1,0.16388340459381173,118151.41277509936,17042.675951159355,12114.673266486772,82.3,0.2,2025
2025,P2_sharpen,L2_W2,0.13324130510286822,96060.05243130263,13856.121623821111,9849.532238619826,82.3,0.2,2025
2025,P2_sharpen,L2_W3,0.11416912767321599,82310.00425774972,11872.754604920092,8439.668936027534,82.3,0.2,2025
2025,P2_sharpen,L3_W0,0.06554077674961069,47251.49191607833,6815.761623328347,4844.9389852575005,82.3,0.2,2025
2025,P2_sharpen,L3_W1,0.04969350011819591,35826.42952321311,5167.760710685722,3673.468456993465,82.3,0.2,2025
2025,P2_sharpen,L3_W2,0.0423972935866141,30566.24401668226,4409.008572855309,3134.114527692328,82.3,0.2,2025
2025,P2_sharpen,L3_W3,0.04189638393865221,30205.11420780343,4356.917631541376,3097.0860272402547,82.3,0.2,2025
2025,P2_emp,L0_W0,0.3992772761800083,287858.15370742464,41521.91766739992,29515.58002863368,82.3,0.2,2025
2025,P2_emp,L0_W1,0.3753738308389083,270625.0125956492,39036.13410637181,27748.577256336586,82.3,0.2,2025
2025,P2_emp,L0_W2,0.327908335255359,236404.85848568057,34100.0695786877,24239.80849569367,82.3,0.2,2025
2025,P2_emp,L0_W3,0.25648238089890146,184910.4595443012,26672.29250988393,18959.822386544,82.3,0.2,2025
2025,P2_emp,L1_W0,0.2597819412072263,187289.27094946738,27015.422659367116,19203.73417955012,82.3,0.2,2025
2025,P2_emp,L1_W1,0.23689172377614456,170786.61447296388,24635.007393426047,17511.631761592016,82.3,0.2,2025
2025,P2_emp,L1_W2,0.19913992608509012,143569.53143119355,20709.096431196373,14720.923969163689,82.3,0.2,2025
2025,P2_emp,L1_W3,0.160341579665454,115597.94117664974,16674.35205235247,11852.852663720434,82.3,0.2,2025
2025,P2_emp,L2_W0,0.16992575039561514,122507.62989621794,17671.03573987754,12561.338658467166,82.3,0.2,2025
2025,P2_emp,L2_W1,0.14825827837774577,106886.50927987904,15417.777057605177,10959.624655406089,82.3,0.2,2025
2025,P2_emp,L2_W2,0.1192568273240702,85977.97114563377,12401.838173212087,8815.764484572448,82.3,0.2,2025
2025,P2_emp,L2_W3,0.10248326808099557,73885.1071564576,10657.510640867857,7575.820817002454,82.3,0.2,2025
2025,P2_emp,L3_W0,0.06341487348493027,45718.82620921351,6594.683225956389,4687.786871462976,82.3,0.2,2025
2025,P2_emp,L3_W1,0.04772323251141918,34405.96903264264,4962.86728390717,3527.8213222954582,82.3,0.2,2025
2025,P2_emp,L3_W2,0.04092376475999985,29503.906356192372,4255.77234763213,3025.1875724132015,82.3,0.2,2025
2025,P2_emp,L3_W3,0.04050835256378404,29204.415764154972,4212.572516240947,2994.4792585327214,82.3,0.2,2025
2025,P3_burst,L0_W0,0.4000913223538677,288445.0386683762,41606.57251811377,29575.756368297745,82.3,0.2,2025
2025,P3_burst,L0_W1,0.3762396430732473,271249.2181943715,39126.17224892175,27812.580273329924,82.3,0.2,2025
2025,P3_burst,L0_W2,0.32892730638755785,237139.48368549702,34206.03512689371,24315.13340345456,82.3,0.2,2025
