country,region,n_home_stations,n_partners,dom_nnls,dom_lp,rt_nnls,rt_lp
JM,North America,2,39,0.43150269401122154,0.4089234006464251,0.11257269886736868,0.12328740565457533
JO,Asia-Pacific,2,39,0.556671312554045,0.556360210284892,0.11928727307847434,0.11722834328443331
JP,Asia-Pacific,9,38,0.39213378841807417,0.38714573183398465,0.1399987612177138,0.1389015279461271
KE,Africa/MENA,2,39,0.3072065603690502,0.3071515016708005,0.12019082989158686,0.1162598975820833
KH,Asia-Pacific,1,39,0.54629646413169,0.54629646413169,0.12440892912561177,0.11841995407831261
KR,Asia-Pacific,2,38,0.4025600389248298,0.3890910585008766,0.13456152347028846,0.1360671533339476
KW,Asia-Pacific,1,38,0.5754653832631593,0.5754653832631593,0.10630933811187838,0.10415936450730831
KZ,Asia-Pacific,1,39,0.5292209121209938,0.5292209121209938,0.13389030953508724,0.12458579541758008
LC,North America,1,39,0.49362954141947557,0.49362954141947557,0.14396392183315715,0.1422580846198116
LK,Asia-Pacific,2,39,0.2813254557897937,0.27998916275412866,0.11946938769646773,0.11836494835663657
LY,Africa/MENA,2,39,0.24003481807560736,0.24002088839471894,0.11227833274307782,0.10862194475556873
MA,Africa/MENA,2,39,0.35031987228766465,0.34741644073969474,0.14507617434086192,0.1442619813552055
MG,Africa/MENA,1,39,0.43429897873290185,0.43429897873290185,0.09553623644191418,0.09419363334354793
MM,Asia-Pacific,1,39,0.5325311739342563,0.5325311739342563,0.14744970169816574,0.14242078211293516
MN,Asia-Pacific,2,39,0.2855264381584146,0.2851529134953687,0.13691571708643874,0.13571693665807202
MR,Africa/MENA,2,39,0.26463385871428574,0.2643829787085568,0.13551818128450474,0.1336454537438848
MU,Africa/MENA,1,39,0.48560943090431974,0.48560943090431974,0.1018639198112788,0.10022825343153335
MX,North America,5,38,0.23686513396758394,0.23658063698568352,0.10878286198687666,0.10675520394794899
MY,Asia-Pacific,1,38,0.5302750662268187,0.5302750662268187,0.1665532086860994,0.16261576657969998
NE,Africa/MENA,1,39,0.5304463362936619,0.5304463362936619,0.14557538213914833,0.14513756819444326
NG,Africa/MENA,1,39,0.48040017830245485,0.48040017830245485,0.12825598545257214,0.12652253032626148
NI,North America,1,39,0.4831369115293906,0.4831369115293905,0.11287018310492171,0.1091881106591089
NL,Europe,3,38,0.21229913179879206,0.21226323542066725,0.10647448536054338,0.10582099846004459
NO,Europe,1,38,0.45915644255823157,0.45915644255823157,0.20301801655733,0.20169367245786202
NP,Asia-Pacific,1,39,0.4941242451635822,0.49412424516358217,0.14905833912431882,0.14718319091145188
NZ,Asia-Pacific,1,38,0.39687113658802925,0.39687113658802925,0.19034126176539867,0.1856650757175842
OM,Asia-Pacific,1,39,0.5297920869513008,0.5297920869513008,0.10117835644715734,0.09904989139520959
PA,North America,1,39,0.49497785166792346,0.49497785166792346,0.11050085390155064,0.10957083937747536
PE,Latin America,2,39,0.22953328277728244,0.2294374443275073,0.10835058296256052,0.10662207584597459
PH,Asia-Pacific,4,39,0.27929694676830474,0.27893345261282804,0.12162142157763826,0.11450990569650231
PK,Asia-Pacific,2,39,0.275461534005635,0.27539349502257016,0.11434469218618945,0.11235692717930484
PL,Europe,4,38,0.296767860005964,0.295954890413664,0.12678881701836217,0.12183258598340857
PS,Asia-Pacific,1,39,0.5554439771469654,0.5554439771469654,0.11151806050456854,0.11042504042004507
PT,Europe,2,39,0.3531970663886177,0.347736377327274,0.13973287547888572,0.13882421977899045
PY,Latin America,2,39,0.3052637353557842,0.29820775527173804,0.15479474173201108,0.1536319616606285
RO,Europe,2,39,0.31651859630457985,0.31498615579618305,0.13393442215359522,0.12929925935392325
RU,Europe,2,39,0.35241566500177723,0.35070907225794434,0.15480626160698938,0.15126500940824364
RW,Africa/MENA,1,39,0.4642981095227978,0.4642981095227978,0.0998459839754844,0.09857938695314003
SA,Asia-Pacific,1,38,0.5791465131461463,0.5791465131461463,0.12263943951075594,0.12045849294234987
SE,Europe,1,38,0.44761180105807047,0.44761180105807047,0.1956097196671293,0.1920981780881691
SK,Europe,1,39,0.5274005551528946,0.5274005551528946,0.1444784653532982,0.13908326822689676
SN,Africa/MENA,1,39,0.5089763339279683,0.5089763339279683,0.16553208764743918,0.16445586334724463
SR,Latin America,1,39,0.5199643130301328,0.5199643130301328,0.17849823679576962,0.17490924751987674
SV,North America,1,39,0.4687929673855721,0.4687929673855721,0.10329446247206037,0.10129815752264625
TH,Asia-Pacific,4,38,0.3351844523342112,0.3292226178026341,0.13129275903701637,0.13001139948147408
TN,Africa/MENA,1,39,0.3879238087973616,0.3879238087973616,0.18980676788767104,0.1880894597031122
TR,Asia-Pacific,2,38,0.360440782243938,0.35768271775234123,0.1222271020693834,0.12361491206093247
TW,Asia-Pacific,2,38,0.4857612784574164,0.4343972884745772,0.12780309265300052,0.1308407454729109
UA,Europe,1,39,0.5062043827750482,0.5062043827750482,0.12425489667835424,0.12188221460377016
UG,Africa/MENA,1,39,0.5032862347139122,0.5032862347139122,0.11953438353296762,0.11803802446008922
US,North America,90,38,0.10569565511090294,0.10516347812319436,0.05535967520357616,0.05537846960550905
UY,Latin America,3,39,0.2589577574238276,0.25745971554117764,0.13205557137614515,0.13104235475968376
UZ,Asia-Pacific,1,39,0.5125874569335954,0.5125874569335954,0.1335812984662828,0.12779914454412447
VN,Asia-Pacific,3,39,0.3327281731972954,0.3281239009652071,0.1290741779470805,0.12705404920810356
ZA,Africa/MENA,8,38,0.23058902481229876,0.2290445863956561,0.10603100482342809,0.10628226962471123
ZM,Africa/MENA,1,39,0.4907218525779552,0.4907218525779552,0.11072907977234321,0.10892742249422514
