country,x_peak,y_solar,reach,phase_lag,migrated_share
MM,20.0,13.768378494613938,6.231621505386062,8.0,0.33714215139749176
MN,21.0,12.996132443534844,8.003867556465156,8.0,0.23278477609441448
MR,19.0,13.7424558327213,5.257544167278702,5.0,0.22578887820703977
MU,21.0,13.452120260059383,7.547879739940619,9.0,0.30956376465865093
MX,21.0,10.63044503117197,10.36955496882803,9.0,0.1901461515657025
MY,20.0,13.5888741710842,6.4111258289158,8.0,0.34077596460703724
NE,20.0,13.661431275179325,6.338568724820675,8.0,0.3386869988422676
NG,18.0,13.100678229567226,4.899321770432774,6.0,0.31390739198922185
NI,21.0,9.956791807356488,11.043208192643512,9.0,0.30906298758222395
NL,19.0,12.975557458278626,6.024442541721374,3.0,0.19193379565137497
NO,20.0,12.867354652931706,7.132645347068294,5.0,0.33120349760670714
NP,21.0,13.405715317528438,7.59428468247156,9.0,0.31614404406814345
NZ,14.0,11.41484818830441,2.5851518116955905,2.0,0.29460555257606713
OM,21.0,13.699455198244834,7.300544801755166,8.0,0.33259325318939603
PA,15.0,9.89411322859418,5.105886771405821,3.0,0.32153711458939616
PE,21.0,10.33576845286656,10.66423154713344,8.0,0.20864754776500127
PH,21.0,13.191816242366137,7.808183757633863,9.0,0.21160440838951555
PK,21.0,13.141089564912285,7.858910435087715,8.0,0.23692026374439712
PL,20.0,13.333905437095137,6.666094562904863,8.0,0.2577003658898977
PS,22.0,13.867198331560845,8.132801668439157,10.0,0.34603332273712845
PT,20.0,13.585458176181637,6.414541823818361,8.0,0.26200376756497784
PY,14.0,11.508979695783632,2.4910203042163683,2.0,0.2534669896076923
RO,20.0,13.170478132452168,6.829521867547832,7.0,0.2579769005572104
RU,21.0,13.38373127831278,7.61626872168722,9.0,0.2805034576056158
RW,15.0,13.313564335810401,1.6864356641895988,3.0,0.29970618281498423
SA,21.0,13.052839121842988,7.947160878157014,8.0,0.36295879111615303
SE,20.0,12.885436518513714,7.114563481486286,6.0,0.3278067251582564
SK,20.0,13.0215035145827,6.978496485417303,8.0,0.350046175337852
SN,19.0,12.025122017376948,6.9748779826230525,6.0,0.3246495724271309
SR,21.0,9.424398980373894,11.575601019626106,9.0,0.3322410156542243
SV,14.0,10.082339198573004,3.9176608014269956,2.0,0.3010474015221145
TH,21.0,13.422638119711905,7.577361880288095,9.0,0.2600951968966973
TN,21.0,13.286095774982197,7.713904225017803,8.0,0.290762765132459
TR,20.0,13.711170754534924,6.288829245465074,8.0,0.2697854092004863
TW,22.0,13.475068355983634,8.524931644016366,10.0,0.3339088218558099
UA,20.0,13.214988574205766,6.785011425794234,8.0,0.3305889133919606
UG,21.0,13.375659514524214,7.624340485475784,9.0,0.32216123011218
US,13.0,12.171450610935732,0.8285493890642677,0.0,0.10563560730340042
UY,20.0,10.833294585084982,9.166705414915018,-3.0,0.2244536154796281
UZ,20.0,13.450034562138821,6.549965437861179,8.0,0.3268615007035898
VN,21.0,13.395673765224,7.604326234776,9.0,0.2624746069624659
ZA,20.0,12.983779103280368,7.016220896719631,7.0,0.2024974389454465
ZM,21.0,13.320457528737675,7.679542471262323,9.0,0.3141804072401897
