country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
CA,North America,Americas,D1,500.0,24,0.4,0.11305790963080001,0.18744650530561147,0.11305790963080001,0.0,0.08645042889723974
CA,North America,Americas,D2,3000.0,24,0.4,0.10733035475175884,0.18744650530561147,0.11305790963080001,0.012222924658491173,0.08645042889723974
CA,North America,Americas,D3,,24,0.4,0.07593677756991568,0.18744650530561147,0.11305790963080001,0.1067211894624362,0.08645042889723974
CA,North America,Americas,D0,0.0,168,0.4,0.09492854787495596,0.18744650530561147,0.09492854787495596,0.0,0.11229640318892732
CA,North America,Americas,D1,500.0,168,0.4,0.09492854787495596,0.18744650530561147,0.09492854787495596,0.0,0.11229640318892732
CA,North America,Americas,D2,3000.0,168,0.4,0.09074746153085667,0.18744650530561147,0.09492854787495596,0.00965638673441645,0.11229640318892732
CA,North America,Americas,D3,,168,0.4,0.0645738963618235,0.18744650530561147,0.09492854787495596,0.08436679935993317,0.11229640318892732
CH,Europe,EurAfrMENA,D0,0.0,0,0.4,0.517883765909733,0.517883765909733,0.517883765909733,0.0,0.0
CH,Europe,EurAfrMENA,D1,500.0,0,0.4,0.49245175873282776,0.517883765909733,0.517883765909733,0.06631335308162706,0.0
CH,Europe,EurAfrMENA,D2,3000.0,0,0.4,0.38735518047193235,0.517883765909733,0.517883765909733,0.2842897148861137,0.0
CH,Europe,EurAfrMENA,D3,,0,0.4,0.35172647274337443,0.517883765909733,0.517883765909733,0.34339631436070595,0.0
CH,Europe,EurAfrMENA,D0,0.0,1,0.4,0.5006078072178953,0.517883765909733,0.5006078072178953,0.0,0.03670372078421463
CH,Europe,EurAfrMENA,D1,500.0,1,0.4,0.47721554506684594,0.517883765909733,0.5006078072178953,0.0648538857104141,0.03670372078421463
CH,Europe,EurAfrMENA,D2,3000.0,1,0.4,0.3857983012883866,0.517883765909733,0.5006078072178953,0.2710632287048777,0.03670372078421463
CH,Europe,EurAfrMENA,D3,,1,0.4,0.35547512727126296,0.517883765909733,0.5006078072178953,0.3263327372340769,0.03670372078421463
