country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,top2_label,top2_weight,region,continent,top3_label,top3_weight
RO,L1,W1,L1_W1,0.1465267460269434,52,24,0.05878545866859197,PT:PV,0.14232907280961013,ES:WIND,0.13445321936138643,Europe,EurAfrMENA,DE:WIND,0.1066600475702583
RO,L1,W2,L1_W2,0.120671362969959,52,25,0.13506077741081376,PT:PV,0.14995023555750447,ES:WIND,0.13444037377055323,Europe,EurAfrMENA,DE:WIND,0.09941931675173171
RO,L1,W3,L1_W3,0.11013402532409904,52,25,0.1661373265897417,PT:PV,0.15310616231767002,ES:WIND,0.13702908645324224,Europe,EurAfrMENA,DE:WIND,0.1009151807245674
RO,L2,W0,L2_W0,0.12598803951121598,94,31,0.0,CV:PV,0.20504308946064226,MU:PV,0.09395917517472646,Europe,EurAfrMENA,ET:WIND,0.0908839307850646
RO,L2,W1,L2_W1,0.10691299059659423,94,33,0.053252164892642326,CV:PV,0.21274038462861614,MU:PV,0.10017151817828754,Europe,EurAfrMENA,ET:WIND,0.09210260649582216
RO,L2,W2,L2_W2,0.08657310085080187,94,29,0.11061344250476447,CV:PV,0.23256031052997536,MU:PV,0.12099761481414295,Europe,EurAfrMENA,ET:WIND,0.08962327385006974
RO,L2,W3,L2_W3,0.08088757306806492,94,28,0.12589800498361622,CV:PV,0.24136624205935028,MU:PV,0.1315732545173704,Europe,EurAfrMENA,ET:WIND,0.09133894207582435
RO,L3,W0,L3_W0,0.06718027599336937,210,59,0.0,CL:PV,0.22105978331587475,MX:PV,0.09254712528783299,Europe,EurAfrMENA,OM:PV,0.08409484383495311
RO,L3,W1,L3_W1,0.053746295539387985,210,57,0.04768423466820324,CL:PV,0.2257021593374783,OM:PV,0.09054261573770346,Europe,EurAfrMENA,MX:PV,0.08379200006886349
RO,L3,W2,L3_W2,0.04893171728037209,210,53,0.06655708721667138,CL:PV,0.23445247860280544,OM:PV,0.1064880965242286,Europe,EurAfrMENA,MX:PV,0.07557061132647898
RO,L3,W3,L3_W3,0.048732426953658606,210,50,0.06718027599336937,CL:PV,0.23516478716657532,OM:PV,0.10729334717176611,Europe,EurAfrMENA,MX:PV,0.07554076436569429
RU,L0,W0,L0_W0,0.3524156652402895,2,2,0.0,RU:WIND,0.609619494984351,RU:PV,0.39038050501564797,Europe,EurAfrMENA,,
RU,L0,W1,L0_W1,0.3291914561348123,2,2,0.05842798403444735,RU:WIND,0.6030913336853915,RU:PV,0.39690866631460753,Europe,EurAfrMENA,,
RU,L0,W2,L0_W2,0.2856871197217564,2,2,0.16220652875501598,RU:WIND,0.5891662976921161,RU:PV,0.41083370230788285,Europe,EurAfrMENA,,
