parameter,variant,country,corner,uncovered_pct,lcoe_elec,lcoe_gen,lcoe_store,lcoe_anc
P3_gamma,stylized_3.0,CR,national,38.21007921897427,195.51667816987384,147.8385099250762,44.37816824479764,3.2999999999999914
P3_gamma,stylized_3.0,CR,global,13.586327457532654,177.6890985836357,140.4975541231603,33.891544460475394,3.299999999999992
P3_gamma,stylized_3.0,CU,national,28.849535950724427,100.2082411911377,56.9795004930067,39.92874069813101,3.2999999999999945
P3_gamma,stylized_3.0,CU,global,12.811398417556202,90.66588208847,57.429406134559684,29.936475953910318,3.299999999999996
P3_gamma,stylized_3.0,CV,national,27.53370371672668,97.83410711349734,52.30818803316398,42.22591908033336,3.300000000000005
P3_gamma,stylized_3.0,CV,global,14.004473168217297,88.63250248435725,52.84371266883967,32.48878981551758,3.3000000000000047
P3_gamma,stylized_3.0,CZ,national,32.41202985605945,154.50432523578348,101.29232636833765,49.9119988674458,3.300000000000005
P3_gamma,stylized_3.0,CZ,global,15.059215879266052,145.10600692922733,101.28630234193244,40.519704587294896,3.3000000000000065
P3_gamma,stylized_3.0,DE,national,22.04010142129136,97.14692810334488,49.25350742090969,44.593420682435195,3.3
P3_gamma,stylized_3.0,DE,global,11.589961203058383,88.40534919799744,50.21980784843375,34.88554134956368,3.3
P3_gamma,stylized_3.0,DK,national,24.12583456463654,99.5984419726762,52.93453285666091,43.363909116015286,3.300000000000005
P3_gamma,stylized_3.0,DK,global,12.938614541912951,91.23349426323774,53.67156396312473,34.261930300113015,3.3000000000000047
P3_gamma,stylized_3.0,DO,national,33.09610178529525,118.73450800632399,73.23728852108678,42.19721948523723,3.2999999999999914
P3_gamma,stylized_3.0,DO,global,12.803739624352467,105.7756055485614,72.60828560572834,29.867319942833074,3.2999999999999927
P3_gamma,stylized_3.0,DZ,national,34.8826984639383,115.61424410998652,64.33818288240214,47.97606122758441,3.2999999999999723
P3_gamma,stylized_3.0,DZ,global,15.909479422643843,105.1619974676264,64.62104524333785,37.2409522242886,3.2999999999999736
P3_gamma,stylized_3.0,EC,national,49.06899136756528,196.23564722621637,142.04400651276615,50.89164071345022,3.300000000000001
P3_gamma,stylized_3.0,EC,global,13.577820955340329,124.2941873235642,82.27575885559396,38.71842846797024,3.300000000000001
