country,tau_ms,phi,tier,year,perturbation,region,ob_star,uncovered_share,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,lcoe_gen_floor,ldes_energy_share,P_li,E_li,P_ld,E_ld
AR,300,1.0,t300p100,2025,P_mix,Latin America,1.838,0.13213401278289796,82.67886381235647,55.876345659192104,5.5148608752216415,144.07007034677022,44.97603784557816,0.768,27.9,96.1,123.4,3040.8
AR,500,1.0,t500p100,2025,P_mix,Latin America,1.825,0.13207835537287702,82.09901503586306,56.18247238202974,5.475486885401103,143.7569743032939,44.98176148759864,0.743,32.7,107.2,119.9,3044.9
AT,50,1.0,t50p100,2025,P_mix,Europe,2.952,0.32503286462567155,232.22623859995704,136.7425479039463,8.855348274481875,377.8241347783852,78.67321467270389,1.0,-0.0,-0.0,343.2,8251.6
AT,100,1.0,t100p100,2025,P_mix,Europe,2.505,0.1996484459521665,196.69814390261033,99.3415733652286,7.513588328104756,303.5533055959437,78.53696608590705,0.959,5.1,18.1,250.8,5875.2
AT,150,1.0,t150p100,2025,P_mix,Europe,2.525,0.19913280041223075,198.324150733763,100.65086417329174,7.57598035889861,306.55099526595336,78.53405421021775,0.955,5.6,20.7,251.3,5974.7
AT,200,1.0,t200p100,2025,P_mix,Europe,2.529,0.1572334443380358,200.92894764483611,96.03620149766579,7.5869246529262275,304.55207379542816,79.45074855884022,0.946,6.2,20.0,234.4,5763.5
AT,300,1.0,t300p100,2025,P_mix,Europe,2.382,0.1551341939853171,189.3296482027084,89.16836942484166,7.144979197642433,285.6429968251925,79.49483530974298,0.96,4.9,13.5,218.8,5362.6
AT,500,1.0,t500p100,2025,P_mix,Europe,2.382,0.1551341939853171,189.3296482027084,89.16836942484166,7.144979197642433,285.6429968251925,79.49483530974298,0.96,4.9,13.5,218.8,5362.6
AU,50,1.0,t50p100,2025,P_mix,Asia-Pacific,2.06,0.24301394083629319,120.95574986789529,45.692760880039394,6.179053092501171,172.82756384043586,58.72538140901512,0.487,64.9,253.4,74.5,1866.8
AU,100,1.0,t100p100,2025,P_mix,Asia-Pacific,1.95,0.17036547594749935,114.57887522555487,45.40215822900359,5.8507105556998775,165.83174401025832,58.75126147571757,0.493,64.6,248.4,77.5,1825.7
AU,150,1.0,t150p100,2025,P_mix,Asia-Pacific,1.909,0.14608318532434247,112.56380097192175,42.09859394782523,5.727386961886653,160.3897818816336,58.960814969018,0.35,79.4,313.4,62.2,1364.5
AU,200,1.0,t200p100,2025,P_mix,Asia-Pacific,1.876,0.12344960556388385,111.6275168023437,42.19695484891365,5.62669641802777,159.4511680692851,59.5167262506072,0.326,78.5,303.1,39.5,1706.7
AU,300,1.0,t300p100,2025,P_mix,Asia-Pacific,1.794,0.10618427893882401,107.6471559635276,31.113623263083895,5.381517718084992,144.14229694469648,60.0093662806895,0.371,68.0,235.2,43.5,986.3
AU,500,1.0,t500p100,2025,P_mix,Asia-Pacific,1.794,0.10618427893882401,107.6471559635276,31.113623263083895,5.381517718084992,144.14229694469648,60.0093662806895,0.371,68.0,235.2,43.5,986.3
