country,tau_ms,phi,reach_km,year,ob_star,uncovered_share,region,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,perturbation
CZ,100,0.2,3143,2025,1.1,0.28410231498388505,Europe,117.41272380233269,55.27264499333131,3.3000000000000065,175.98536879566402,P_mix
CZ,100,0.4,3143,2025,1.1,0.25176646661510543,Europe,117.46948497782685,57.686933056448474,3.3000000000000074,178.45641803427532,P_mix
CZ,100,0.6,3143,2025,1.1,0.2300926165361144,Europe,117.5006325540742,55.63959089165804,3.3000000000000065,176.44022344573224,P_mix
CZ,100,0.8,3143,2025,1.1,0.2182027118853881,Europe,117.51846481797143,52.868423441230476,3.300000000000005,173.6868882592019,P_mix
CZ,100,1.0,3143,2025,1.1,0.21486036844123627,Europe,117.52198448574858,53.693975935683255,3.300000000000005,174.51596042143183,P_mix
CZ,150,0.0,6714,2025,1.1,0.32593337000025135,Europe,117.32366862058772,65.44255736792745,3.3000000000000065,186.06622598851516,P_mix
CZ,150,0.2,6714,2025,1.1,0.28374237300811506,Europe,117.4170515180889,55.24869823256483,3.300000000000005,175.96574975065374,P_mix
CZ,150,0.4,6714,2025,1.1,0.25087839095929787,Europe,117.47893493318517,57.969338513979245,3.3000000000000065,178.74827344716442,P_mix
CZ,150,0.6,6714,2025,1.1,0.22875262200281699,Europe,117.51302709379733,55.15181548473274,3.3000000000000065,175.96484257853007,P_mix
CZ,150,0.8,6714,2025,1.1,0.21660171207402543,Europe,117.53186481244671,52.53372663779669,3.300000000000005,173.36559145024341,P_mix
CZ,150,1.0,6714,2025,1.1,0.21315692047372334,Europe,117.53553078451066,53.13913822396491,3.300000000000005,173.97466900847556,P_mix
CZ,200,0.0,10286,2025,1.1,0.32593337000025135,Europe,117.32366862058772,65.44255736792745,3.3000000000000065,186.06622598851516,P_mix
CZ,200,0.2,10286,2025,1.1,0.27983974250382376,Europe,117.46559249481832,54.36668004007123,3.3000000000000074,175.13227253488955,P_mix
CZ,200,0.4,10286,2025,1.1,0.23866879291157475,Europe,117.60527160672422,50.67443521867127,3.3000000000000065,171.5797068253955,P_mix
CZ,200,0.6,10286,2025,1.1,0.20631878273718715,Europe,117.70896064566321,38.14382767965437,3.3000000000000065,159.15278832531757,P_mix
CZ,200,0.8,10286,2025,1.1,0.18620138370209408,Europe,117.76194201043558,29.407347639378933,3.3000000000000065,150.4692896498145,P_mix
CZ,200,1.0,10286,2025,1.1,0.17992918719517242,Europe,117.77002645534317,27.570820290098606,3.3000000000000065,148.6408467454418,P_mix
CZ,300,0.0,17429,2025,1.1,0.32593337000025135,Europe,117.32366862058772,65.44255736792745,3.3000000000000065,186.06622598851516,P_mix
CZ,300,0.2,17429,2025,1.1,0.27982574919930786,Europe,117.46574435150694,54.369406610300516,3.300000000000005,175.13515096180745,P_mix
CZ,300,0.4,17429,2025,1.1,0.23846030297208062,Europe,117.60699808499231,49.93723121520674,3.300000000000005,170.84422930019903,P_mix
CZ,300,0.6,17429,2025,1.1,0.20543425004113874,Europe,117.71512646155543,36.51039112207366,3.300000000000005,157.5255175836291,P_mix
CZ,300,0.8,17429,2025,1.1,0.18425938375497825,Europe,117.77345350718086,28.535321116027408,3.3000000000000047,149.60877462320826,P_mix
CZ,300,1.0,17429,2025,1.1,0.17735586149276397,Europe,117.7831810834844,27.41103675110843,3.300000000000006,148.49421783459283,P_mix
CZ,500,0.0,31714,2025,1.1,0.32593337000025135,Europe,117.32366862058772,65.44255736792745,3.3000000000000065,186.06622598851516,P_mix
CZ,500,0.2,31714,2025,1.1,0.27982574919930786,Europe,117.46574435150694,54.369406610300516,3.300000000000005,175.13515096180745,P_mix
CZ,500,0.4,31714,2025,1.1,0.23845876781591968,Europe,117.60700230928158,49.93762035527891,3.300000000000005,170.8446226645605,P_mix
CZ,500,0.6,31714,2025,1.1,0.20540431125675387,Europe,117.71527539989324,36.515901550598606,3.3000000000000065,157.53117695049187,P_mix
CZ,500,0.8,31714,2025,1.1,0.18411713223517615,Europe,117.7739227074323,28.50887401449268,3.300000000000005,149.582796721925,P_mix
CZ,500,1.0,31714,2025,1.1,0.17714340436471404,Europe,117.78379494584551,27.1779796946117,3.300000000000005,148.2617746404572,P_mix
DE,50,0.0,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,50,0.2,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,50,0.4,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,50,0.6,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,50,0.8,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,50,1.0,0,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,100,0.0,3143,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,100,0.2,3143,2025,1.1,0.18769550439420524,Europe,58.78242568896789,43.852790697487485,3.299999999999999,105.93521638645538,P_mix
DE,100,0.4,3143,2025,1.1,0.1662029838168422,Europe,58.73341078466871,40.55049855379405,3.299999999999999,102.58390933846276,P_mix
DE,100,0.6,3143,2025,1.1,0.1556396208264413,Europe,58.64125754618289,36.37721156913195,3.299999999999999,98.31846911531484,P_mix
DE,100,0.8,3143,2025,1.1,0.15152136166457003,Europe,58.64392072038026,35.44513508665428,3.2999999999999985,97.38905580703455,P_mix
DE,100,1.0,3143,2025,1.1,0.15082670057692418,Europe,58.647770080553535,35.3761195152387,3.299999999999999,97.32388959579224,P_mix
DE,150,0.0,6714,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,150,0.2,6714,2025,1.1,0.18622735462198547,Europe,58.925593296820104,43.19185508971929,3.3,105.4174483865394,P_mix
DE,150,0.4,6714,2025,1.1,0.16295452820405257,Europe,59.03010788742861,39.31163355344954,3.3000000000000007,101.64174144087815,P_mix
DE,150,0.6,6714,2025,1.1,0.15131791061846564,Europe,58.976788877421214,31.440763774487646,3.299999999999999,93.71755265190886,P_mix
DE,150,0.8,6714,2025,1.1,0.14663757882316064,Europe,58.98683812909019,31.20406809251235,3.299999999999999,93.49090622160254,P_mix
DE,150,1.0,6714,2025,1.1,0.14579685181204732,Europe,58.99339269974624,31.33442692126562,3.3,93.62781962101185,P_mix
DE,200,0.0,10286,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,200,0.2,10286,2025,1.1,0.18354430963986926,Europe,59.20068492797701,42.246371730095014,3.299999999999999,104.74705665807201,P_mix
DE,200,0.4,10286,2025,1.2,0.1563823249003146,Europe,65.0593462990365,27.9437232297341,3.5999999999999988,96.6030695287706,P_mix
DE,200,0.6,10286,2025,1.2,0.1414034810124384,Europe,65.1748027393195,15.156987912081703,3.599999999999998,83.9317906514012,P_mix
DE,200,0.8,10286,2025,1.2,0.13447571218299437,Europe,65.26455579139042,6.6338680547083735,3.5999999999999988,75.49842384609879,P_mix
DE,200,1.0,10286,2025,1.3,0.13324629952064232,Europe,70.71821337476688,0.625183521331994,3.9,75.24339689609887,P_mix
DE,300,0.0,17429,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,300,0.2,17429,2025,1.1,0.18351540229713964,Europe,59.20252056102965,42.23091322468809,3.3,104.73343378571775,P_mix
DE,300,0.4,17429,2025,1.2,0.15621121769537755,Europe,65.07567483901205,27.757628622056046,3.5999999999999988,96.43330346106809,P_mix
DE,300,0.6,17429,2025,1.2,0.14092278996965082,Europe,65.21162819949578,14.954181206838383,3.5999999999999988,83.76580940633417,P_mix
DE,300,0.8,17429,2025,1.2,0.13371301388688975,Europe,65.31200494076683,6.648857224356906,3.599999999999998,75.56086216512374,P_mix
DE,300,1.0,17429,2025,1.3,0.1323247785855929,Europe,70.77206133131297,0.7797411041555617,3.8999999999999986,75.45180243546852,P_mix
DE,500,0.0,31714,2025,1.1,0.2258122553835261,Europe,58.3941962175133,57.221212278517406,3.3,118.9154084960307,P_mix
DE,500,0.2,31714,2025,1.1,0.18351540229713964,Europe,59.20252056102965,42.23091322468809,3.3,104.73343378571775,P_mix
DE,500,0.4,31714,2025,1.2,0.15620055628690577,Europe,65.07706902959478,27.758889814900627,3.5999999999999988,96.43595884449542,P_mix
DE,500,0.6,31714,2025,1.2,0.1408984772321821,Europe,65.21429348699608,14.922669767998578,3.6,83.73696325499468,P_mix
DE,500,0.8,31714,2025,1.2,0.13366253610922507,Europe,65.31625804232168,6.660245740409084,3.5999999999999983,75.57650378273077,P_mix
DE,500,1.0,31714,2025,1.3,0.13226848758013837,Europe,70.77691281716557,0.7884461723652609,3.8999999999999986,75.46535898953083,P_mix
DK,50,0.0,0,2025,1.1,0.2457446036541914,Europe,62.775444696957784,55.59938065667956,3.300000000000005,121.67482535363733,P_mix
