year,perturbation,scenario,mean_uncovered_share,global_annual_unmet_gwh,global_storage_cost_musd_yr_mid,global_storage_cost_usd_yr_low,global_fleet_gw,ai_share,capex_year_used
2025,P3_burst,L3_W1,0.0654560231637072,47190.38898782837,6806.947870014935,4838.67378711905,82.3,0.2,2025
2025,P3_burst,L3_W2,0.055286964837756566,39859.02672585093,5749.440148551845,4086.9514308983,82.3,0.2,2025
2025,P3_burst,L3_W3,0.05241031638208296,37785.11277502995,5450.289739900282,3874.302345230321,82.3,0.2,2025
2025,P_mix,L0_W0,0.4029482758872153,290504.7536043361,41903.67479883001,29786.949555794832,82.3,0.2,2025
2025,P_mix,L0_W1,0.3787244303231378,273040.62059260556,39384.57195700943,27996.261993536828,82.3,0.2,2025
2025,P_mix,L0_W2,0.3295218246554186,237568.10044167473,34267.86068031877,24359.08168841937,82.3,0.2,2025
2025,P_mix,L0_W3,0.2563038744808289,184781.76569920464,26653.729147437607,18946.626743359266,82.3,0.2,2025
2025,P_mix,L1_W0,0.22276162843415934,160599.5504963503,23165.580780833374,16467.09959119481,82.3,0.2,2025
2025,P_mix,L1_W1,0.20024789182620292,144368.31711631737,20824.316768103414,14802.827582145801,82.3,0.2,2025
2025,P_mix,L1_W2,0.165080294451762,119014.30812440893,17167.14374610683,12203.150373738592,82.3,0.2,2025
2025,P_mix,L1_W3,0.13639415301697982,98333.09182928558,14183.994756898077,10082.598682614296,82.3,0.2,2025
2025,P_mix,L2_W0,0.1707291724444983,123086.85541551615,17754.58575926522,12620.729636104194,82.3,0.2,2025
2025,P_mix,L2_W1,0.14906602283087336,107468.85102787249,15501.77657543384,11019.335156031286,82.3,0.2,2025
2025,P_mix,L2_W2,0.1195916349072579,86219.35000311777,12436.655714136388,8840.514302819844,82.3,0.2,2025
2025,P_mix,L2_W3,0.10414646912976198,75084.18862616362,10830.471390530147,7698.768819774443,82.3,0.2,2025
2025,P_mix,L3_W0,0.06751002405326567,48671.21682115377,7020.548946041518,4990.510696583729,82.3,0.2,2025
2025,P_mix,L3_W1,0.051547871089097246,37163.33456594248,5360.601734635878,3810.5482210062264,82.3,0.2,2025
2025,P_mix,L3_W2,0.04394749537152162,31683.85889310777,4570.218225196674,3248.7093408024552,82.3,0.2,2025
2025,P_mix,L3_W3,0.043431080792010905,31311.550834838676,4516.514884355855,3210.5346768312706,82.3,0.2,2025
2030,P0_baseline,L0_W0,0.39734321059316946,762279.1089303601,95878.97210135686,64250.50289348267,219.0,0.44,2030
2030,P0_baseline,L0_W1,0.3731455927651428,715857.4309843606,90040.08354657516,60337.74165124555,219.0,0.44,2030
2030,P0_baseline,L0_W2,0.32436630348099266,622277.2912500756,78269.63424301925,52450.1175929041,219.0,0.44,2030
2030,P0_baseline,L0_W3,0.25254834848774144,484498.85367282265,60939.95169252342,40837.13515837494,219.0,0.44,2030
2030,P0_baseline,L1_W0,0.22508173020872166,431805.79450162,54312.252873254794,36395.77567326919,219.0,0.44,2030
2030,P0_baseline,L1_W1,0.20280897593000743,389076.8517831635,48937.83416122678,32794.26537919861,219.0,0.44,2030
2030,P0_baseline,L1_W2,0.16825280522617442,322782.91165810206,40599.425353645944,27206.523380336148,219.0,0.44,2030
2030,P0_baseline,L1_W3,0.14014501713543864,268859.80667331093,33817.012169438305,22661.486566048472,219.0,0.44,2030
2030,P0_baseline,L2_W0,0.17660365029293232,338803.5068679731,42614.48543226957,28556.857249949215,219.0,0.44,2030
