country,local_hour,demand_orig,demand_migrated,portfolio_w0_fit,portfolio_w3_fit
BD,16,0.5392216066607091,0.48583699004388864,0.5154050202995142,0.4776406590784919
BD,17,0.5309841123392133,0.48991138346874386,0.5271746001782097,0.4878215460068407
BD,18,0.5583857103800483,0.515493798104785,0.5616632658403643,0.5192519124901356
BD,19,0.6108615268407995,0.5711047417868663,0.6169878242680968,0.5721139274577208
BD,20,0.6532443375578915,0.620605950665525,0.6738781940263158,0.6271473867193268
BD,21,0.6847570862894365,0.6546559177469743,0.7124590780837164,0.6649060104847843
BD,22,0.7321061445162572,0.6797250444812948,0.7277261685634037,0.6771265342380411
BD,23,0.7422315457262806,0.6668958133003345,0.7067649725665214,0.6519334576654954
BE,0,0.1787229003456073,0.16366758800998688,0.19121927716769335,0.1746182963397656
BE,1,0.1336026914602207,0.1259214067606856,0.15340850956723265,0.14012195528809138
BE,2,0.1100029388510257,0.10674515550975058,0.1323039612626914,0.12071991395927681
BE,3,0.10800430535636969,0.10596261778120826,0.1339399612250886,0.12157063709451064
BE,4,0.14442454896598897,0.13583996583247374,0.16327849213227721,0.14869290367306442
BE,5,0.22669968086162026,0.20335810045802286,0.23041365875141756,0.2117332038522386
BE,6,0.3328826708530083,0.2940434934771975,0.31982594754030497,0.29280859790969893
BE,7,0.43207302363057976,0.38307367996960195,0.406979522941893,0.37258878873911494
BE,8,0.49189209573760456,0.4516219732422878,0.47837218658153724,0.4403004636138619
BE,9,0.5153996509971366,0.4859657852501977,0.5207983308000375,0.48217803021006117
BE,10,0.5126003390006424,0.4939058158955001,0.532943176705093,0.4959724667017902
BE,11,0.5115850947776832,0.49113217486666894,0.5272602529253925,0.4933773639432614
BE,12,0.5290631823419867,0.4929875011194633,0.5227431145144631,0.49074545803126973
BE,13,0.5407262824850438,0.4966754265629031,0.5251579626998624,0.49307973383185694
BE,14,0.544308234133084,0.49692541342555796,0.5210905780135701,0.4890000771792445
BE,15,0.541143583860511,0.49771665407826454,0.5229451037082175,0.4904452070251564
BE,16,0.5288421708681077,0.503663947450725,0.5387616851959537,0.5049197022427662
BE,17,0.5250678621879167,0.5083233071033095,0.5615977371685937,0.5236225622076064
BE,18,0.5506314970831836,0.5215760437084463,0.5706257741181674,0.5276457698436621
BE,19,0.5704403973114034,0.5215230793471337,0.555357663987857,0.5112438823209905
BE,20,0.5472175829599627,0.48718637314536584,0.5105840075866314,0.4691219848905689
BE,21,0.47029525845423,0.41977554074952905,0.43790726120464946,0.40146494062169213
BE,22,0.35601020724958576,0.3244174301454186,0.3428280913691247,0.31405228969518273
BE,23,0.25169798730172616,0.22979734226654863,0.25299192990647934,0.23178158694151618
BF,0,0.20311648766245166,0.17828499467498135,0.19453925374719772,0.17304165618856104
BF,1,0.135245927485812,0.12350944786861735,0.14594910525033386,0.1292370496832491
BF,2,0.09191902949815976,0.08704855427838028,0.11325914286082929,0.10003913426958329
BF,3,0.06788619590441816,0.06581505755256789,0.09296979071786515,0.08161704076754366
BF,4,0.060828604341695736,0.0583990310962631,0.07993097335839505,0.06898274908727856
BF,5,0.08003470175520787,0.07403985326396671,0.08925221996562727,0.07799571110746895
BF,6,0.12994027867576755,0.11626897715090435,0.12672507912846392,0.11396467259981308
BF,7,0.18319915309721707,0.16664451064051633,0.1823597219669274,0.16598978840016304
BF,8,0.2421627029305387,0.2201532130798657,0.23926681593462515,0.21890931095088711
BF,9,0.29689913817879027,0.2649431952104782,0.28422601518351504,0.26057730485716146
BF,10,0.31133193115883523,0.2864800473430317,0.31291956688900435,0.2857855064801594
BF,11,0.33455446652423604,0.3027879457550698,0.3279161088537647,0.29869918249728766
BF,12,0.32480603366983846,0.3007338018035578,0.3307880288249834,0.3014220400505168
BF,13,0.32236007660063953,0.2963955826585448,0.32486426063946855,0.296556553126633
BF,14,0.3302931089084849,0.29782459193263633,0.3228834409030246,0.2946267838922066
BF,15,0.3257023802745717,0.2959908458992545,0.3249262281354767,0.29648823124595614
BF,16,0.33542271704422544,0.29978967470829215,0.32661959085745906,0.2972586527528614
BF,17,0.3335600376260384,0.30340454486301466,0.3350230135873321,0.30383101055404016
BF,18,0.32177935646810374,0.30506921004374665,0.3532763298772709,0.3198113058782718
BF,19,0.3649696700991942,0.3356101148077838,0.37170247695965314,0.3368868535556645
BF,20,0.3812807136582044,0.3425681972193917,0.3734765544691602,0.33856214649836175
BF,21,0.3737180009215039,0.3295349631147098,0.35220052456714246,0.3184067494653691
BF,22,0.33857712346932045,0.2934549093976913,0.3089303451925974,0.2779904242448484
BF,23,0.2769645627554123,0.23795492280360017,0.2525478108385517,0.22602632901298078
BG,0,0.35292838933449344,0.3335975387899019,0.35927303709838065,0.33027307995394856
BG,1,0.24509704773646568,0.23307303884081296,0.2623860327135675,0.24141129915211074
BG,2,0.17859156280392857,0.1705815345556659,0.20151727288950574,0.18666558840586508
BG,3,0.14453375727381207,0.14039940052346572,0.1745526736753364,0.16349204508478696
BG,4,0.14428206722797515,0.1406483383132889,0.17335791309520465,0.16099197018276484
BG,5,0.19680303997648657,0.17973134378263042,0.20663716176205177,0.18841041694060615
BG,6,0.28667787840361886,0.25492474750331795,0.27570070769710464,0.25379243495998294
BG,7,0.39199645354498686,0.3498158351201292,0.37255895154198765,0.3470166638194044
BG,8,0.49642058142618634,0.4475119331208425,0.47135744199081825,0.4372762563255749
BG,9,0.5664739606437555,0.5221814196185455,0.5536680390349166,0.5128897020442189
BG,10,0.6034548630661855,0.5720866718753452,0.6157046739713559,0.5725368491376018
BG,11,0.619008847697906,0.5980133212090939,0.6539331775819333,0.6097533345517738
BG,12,0.6363312618575596,0.6132790519901986,0.6630243712220176,0.6180627196059292
BG,13,0.6611859140855927,0.6177232293856153,0.6519315355325593,0.6092434277221543
BG,14,0.6815594699795439,0.6146128389267305,0.6409223916403236,0.6013674172399484
BG,15,0.6809217383190959,0.6165471828957849,0.6451018753695344,0.6062069575304683
BG,16,0.6668771913645472,0.6216453156517595,0.6504181489550682,0.6114040399227236
BG,17,0.6510073140569745,0.6269968069394415,0.6633499225264089,0.6255628250406208
BG,18,0.6418557682759848,0.6285730638570659,0.6808491305951244,0.6451870397047358
BG,19,0.6458997077816085,0.6319151427663161,0.6874819030577277,0.6492216026680891
BG,20,0.6690350446164867,0.6311254542686363,0.6691728605580736,0.6260513593582038
BG,21,0.6749348221081743,0.6008202487602673,0.625417778997463,0.5820447285837209
BG,22,0.603119769181234,0.535779029393173,0.5570376999058747,0.517058947484966
BG,23,0.484285058186086,0.4463445205736723,0.46792680753635235,0.4320063032415033
BH,0,0.4604779556972238,0.4215180809128577,0.4556141800491893,0.41696152908549966
BH,1,0.391117707881306,0.35822128645899914,0.3949137426211761,0.36014501720585135
BH,2,0.31859546908678965,0.2920898715774872,0.3285417700856945,0.29881850819599454
BH,3,0.2573733749683443,0.23248877649738006,0.2662960404886138,0.242413296277684
BH,4,0.21778792498770524,0.19588275949627607,0.22373558406519706,0.20425297883831314
