year,perturbation,storage_scenario,fleet_model,global_storage_bill_busd,ldes_energy_share,fleet_gw,lambda_inf
2026,P2_emp,Conservative,growing_high,96.46158914008893,1.0,137.04,0.1656
2026,P2_emp,Central,frozen,60.03887077272743,1.0,109.63999999999999,0.1656
2026,P2_emp,Central,growing_low,54.78191017971225,1.0,100.03999999999999,0.1656
2026,P2_emp,Central,growing_central,60.03887077272743,1.0,109.63999999999999,0.1656
2026,P2_emp,Central,growing_high,75.04311246529157,1.0,137.04,0.1656
2026,P2_emp,Optimistic,frozen,52.09778291697034,1.0,109.63999999999999,0.1656
2026,P2_emp,Optimistic,growing_low,47.53613829819147,1.0,100.03999999999999,0.1656
2026,P2_emp,Optimistic,growing_central,52.09778291697034,1.0,109.63999999999999,0.1656
2026,P2_emp,Optimistic,growing_high,65.11747693306837,1.0,137.04,0.1656
2026,P3_burst,Conservative,frozen,80.01541835793095,1.0,109.63999999999999,0.1656
2026,P3_burst,Conservative,growing_low,73.00932554293516,1.0,100.03999999999999,0.1656
2026,P3_burst,Conservative,growing_central,80.01541835793095,1.0,109.63999999999999,0.1656
2026,P3_burst,Conservative,growing_high,100.01197493406475,1.0,137.04,0.1656
2026,P3_burst,Central,frozen,62.17993355422536,1.0,109.63999999999999,0.1656
2026,P3_burst,Central,growing_low,56.73550303506662,1.0,100.03999999999999,0.1656
2026,P3_burst,Central,growing_central,62.17993355422536,1.0,109.63999999999999,0.1656
2026,P3_burst,Central,growing_high,77.71924566099092,1.0,137.04,0.1656
2026,P3_burst,Optimistic,frozen,53.91470888909352,1.0,109.63999999999999,0.1656
2026,P3_burst,Optimistic,growing_low,49.19397553142024,1.0,100.03999999999999,0.1656
2026,P3_burst,Optimistic,growing_central,53.91470888909352,1.0,109.63999999999999,0.1656
2026,P3_burst,Optimistic,growing_high,67.388468680786,1.0,137.04,0.1656
2026,P_mix,Conservative,frozen,78.38712012258995,1.0,109.63999999999999,0.1656
2026,P_mix,Conservative,growing_low,71.52359993673748,1.0,100.03999999999999,0.1656
2026,P_mix,Conservative,growing_central,78.38712012258995,1.0,109.63999999999999,0.1656
2026,P_mix,Conservative,growing_high,97.97675065304385,1.0,137.04,0.1656
2026,P_mix,Central,frozen,61.556322455129475,1.0,109.63999999999999,0.1656
2026,P_mix,Central,growing_low,56.16649487788355,1.0,100.03999999999999,0.1656
2026,P_mix,Central,growing_central,61.556322455129475,1.0,109.63999999999999,0.1656
2026,P_mix,Central,growing_high,76.93978866518556,1.0,137.04,0.1656
2026,P_mix,Optimistic,frozen,53.75668451167216,1.0,109.63999999999999,0.1656
2026,P_mix,Optimistic,growing_low,49.049787655487805,1.0,100.03999999999999,0.1656
2026,P_mix,Optimistic,growing_central,53.75668451167216,1.0,109.63999999999999,0.1656
2026,P_mix,Optimistic,growing_high,67.1909526220317,1.0,137.04,0.1656
2027,P0_baseline,Conservative,frozen,95.31082804127713,1.0,136.98,0.2012
2027,P0_baseline,Conservative,growing_low,81.951447851523,1.0,117.78,0.2012
2027,P0_baseline,Conservative,growing_central,95.31082804127713,1.0,136.98,0.2012
2027,P0_baseline,Conservative,growing_high,123.35161041872978,1.0,177.27999999999997,0.2012
2027,P0_baseline,Central,frozen,73.48425002549656,1.0,136.98,0.2012
2027,P0_baseline,Central,growing_low,63.18422374071387,1.0,117.78,0.2012
2027,P0_baseline,Central,growing_central,73.48425002549656,1.0,136.98,0.2012
2027,P0_baseline,Central,growing_high,95.10357602949358,1.0,177.27999999999997,0.2012
2027,P0_baseline,Optimistic,frozen,64.13000230444773,1.0,136.98,0.2012
2027,P0_baseline,Optimistic,growing_low,55.14112769322422,1.0,117.78,0.2012
2027,P0_baseline,Optimistic,growing_central,64.13000230444773,1.0,136.98,0.2012
2027,P0_baseline,Optimistic,growing_high,82.99727557696373,1.0,177.27999999999997,0.2012
2027,P1_flatten,Conservative,frozen,91.21699718603358,1.0,136.98,0.2012
2027,P1_flatten,Conservative,growing_low,78.43143472456589,1.0,117.78,0.2012
2027,P1_flatten,Conservative,growing_central,91.21699718603358,1.0,136.98,0.2012
2027,P1_flatten,Conservative,growing_high,118.05336006088503,1.0,177.27999999999997,0.2012
2027,P1_flatten,Central,frozen,69.25651949815435,1.0,136.98,0.2012
2027,P1_flatten,Central,growing_low,59.54907918303853,1.0,117.78,0.2012
2027,P1_flatten,Central,growing_central,69.25651949815435,1.0,136.98,0.2012
2027,P1_flatten,Central,growing_high,89.6320322429026,1.0,177.27999999999997,0.2012
2027,P1_flatten,Optimistic,frozen,59.84488620334895,1.0,136.98,0.2012
2027,P1_flatten,Optimistic,growing_low,51.456641093812514,1.0,117.78,0.2012
2027,P1_flatten,Optimistic,growing_central,59.84488620334895,1.0,136.98,0.2012
2027,P1_flatten,Optimistic,growing_high,77.45146317805299,1.0,177.27999999999997,0.2012
2027,P2_sharpen,Conservative,frozen,95.82761290065413,1.0,136.98,0.2012
2027,P2_sharpen,Conservative,growing_low,82.39579681295841,1.0,117.78,0.2012
2027,P2_sharpen,Conservative,growing_central,95.82761290065413,1.0,136.98,0.2012
2027,P2_sharpen,Conservative,growing_high,124.02043520972376,1.0,177.27999999999997,0.2012
2027,P2_sharpen,Central,frozen,74.72722779706709,1.0,136.98,0.2012
2027,P2_sharpen,Central,growing_low,64.25297773352725,1.0,117.78,0.2012
2027,P2_sharpen,Central,growing_central,74.72722779706709,1.0,136.98,0.2012
2027,P2_sharpen,Central,growing_high,96.71224225335122,1.0,177.27999999999997,0.2012
2027,P2_sharpen,Optimistic,frozen,65.68420560981555,1.0,136.98,0.2012
2027,P2_sharpen,Optimistic,growing_low,56.477483842342494,1.0,117.78,0.2012
2027,P2_sharpen,Optimistic,growing_central,65.68420560981555,1.0,136.98,0.2012
2027,P2_sharpen,Optimistic,growing_high,85.00873098633448,1.0,177.27999999999997,0.2012
2027,P2_emp,Conservative,frozen,92.47428951946377,1.0,136.98,0.2012
2027,P2_emp,Conservative,growing_low,79.5124968579533,1.0,117.78,0.2012
2027,P2_emp,Conservative,growing_central,92.47428951946377,1.0,136.98,0.2012
2027,P2_emp,Conservative,growing_high,119.68055224127998,1.0,177.27999999999997,0.2012
2027,P2_emp,Central,frozen,70.71037197622526,1.0,136.98,0.2012
2027,P2_emp,Central,growing_low,60.799150323841516,1.0,117.78,0.2012
2027,P2_emp,Central,growing_central,70.71037197622526,1.0,136.98,0.2012
2027,P2_emp,Central,growing_high,91.51361325700988,1.0,177.27999999999997,0.2012
2027,P2_emp,Optimistic,frozen,61.382978743408806,1.0,136.98,0.2012
2027,P2_emp,Optimistic,growing_low,52.779144666365085,1.0,117.78,0.2012
2027,P2_emp,Optimistic,growing_central,61.382978743408806,1.0,136.98,0.2012
2027,P2_emp,Optimistic,growing_high,79.44206797803702,1.0,177.27999999999997,0.2012
2027,P3_burst,Conservative,frozen,96.97957383699956,1.0,136.98,0.2012
2027,P3_burst,Conservative,growing_low,83.38629147701714,1.0,117.78,0.2012
2027,P3_burst,Conservative,growing_central,96.97957383699956,1.0,136.98,0.2012
2027,P3_burst,Conservative,growing_high,125.51130712383761,1.0,177.27999999999997,0.2012
2027,P3_burst,Central,frozen,73.95325499031853,1.0,136.98,0.2012
2027,P3_burst,Central,growing_low,63.58748994568344,1.0,117.78,0.2012
2027,P3_burst,Central,growing_central,73.95325499031853,1.0,136.98,0.2012
2027,P3_burst,Central,growing_high,95.71056391213072,1.0,177.27999999999997,0.2012
2027,P3_burst,Optimistic,frozen,64.08483262745517,1.0,136.98,0.2012
2027,P3_burst,Optimistic,growing_low,55.102289289397504,1.0,117.78,0.2012
2027,P3_burst,Optimistic,growing_central,64.08483262745517,1.0,136.98,0.2012
2027,P3_burst,Optimistic,growing_high,82.93881682139913,1.0,177.27999999999997,0.2012
2027,P_mix,Conservative,frozen,94.74817538790921,1.0,136.98,0.2012
2027,P_mix,Conservative,growing_low,81.46766022184221,1.0,117.78,0.2012
2027,P_mix,Conservative,growing_central,94.74817538790921,1.0,136.98,0.2012
2027,P_mix,Conservative,growing_high,122.62342336668522,1.0,177.27999999999997,0.2012
2027,P_mix,Central,frozen,73.3472877068201,1.0,136.98,0.2012
2027,P_mix,Central,growing_low,63.06645894370909,1.0,117.78,0.2012
2027,P_mix,Central,growing_central,73.3472877068201,1.0,136.98,0.2012
2027,P_mix,Central,growing_high,94.92631891272495,1.0,177.27999999999997,0.2012
2027,P_mix,Optimistic,frozen,64.175478700639,1.0,136.98,0.2012
2027,P_mix,Optimistic,growing_low,55.18022982450914,1.0,117.78,0.2012
2027,P_mix,Optimistic,growing_central,64.175478700639,1.0,136.98,0.2012
2027,P_mix,Optimistic,growing_high,83.05613128959908,1.0,177.27999999999997,0.2012
2028,P0_baseline,Conservative,frozen,110.59360443301999,1.0,164.32,0.2368
2028,P0_baseline,Conservative,growing_low,91.21010998516839,1.0,135.52,0.2368
2028,P0_baseline,Conservative,growing_central,110.59360443301999,1.0,164.32,0.2368
2028,P0_baseline,Conservative,growing_high,146.39922612141254,1.0,217.51999999999998,0.2368
