country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,continent,top2_label,top2_weight,top3_label,top3_weight
MG,L2,W0,L2_W0,0.18067493590149872,16,12,0.0,ZA:WIND,0.26893339730319576,Africa/MENA,EurAfrMENA,ZA:PV,0.17674553144335053,MU:PV,0.1628919342876412
MG,L2,W1,L2_W1,0.1589524099110532,16,12,0.055856106762829164,ZA:WIND,0.26669408439801806,Africa/MENA,EurAfrMENA,ZA:PV,0.17995735830838105,MU:PV,0.1700103845879534
MG,L2,W2,L2_W2,0.12970037308608529,16,14,0.13334571897759157,ZA:WIND,0.2597245427747632,Africa/MENA,EurAfrMENA,ZA:PV,0.19501594187169863,MU:PV,0.17741677421025415
MG,L2,W3,L2_W3,0.1142398275228703,16,14,0.17637515376792073,ZA:WIND,0.25714586958881247,Africa/MENA,EurAfrMENA,ZA:PV,0.20032949833907843,MU:PV,0.1741833265396786
MG,L3,W0,L3_W0,0.09212829388105337,210,61,0.0,MU:PV,0.07242442848368265,Africa/MENA,EurAfrMENA,OM:PV,0.06476398480672049,CV:PV,0.061897605018087
MG,L3,W1,L3_W1,0.07378278842627149,210,62,0.05453292976541247,MU:PV,0.07036011849117241,Africa/MENA,EurAfrMENA,CV:PV,0.06073796190282928,OM:PV,0.057733663143705066
MG,L3,W2,L3_W2,0.06149031698046425,210,57,0.09126423310245405,MU:PV,0.07461606679035925,Africa/MENA,EurAfrMENA,CV:PV,0.06595901924381103,AR:PV,0.06215328572515893
MG,L3,W3,L3_W3,0.0612109159541848,210,58,0.09212829388105337,MU:PV,0.0743015247010192,Africa/MENA,EurAfrMENA,CV:PV,0.06611530596268794,AR:PV,0.06261318745588867
MM,L0,W0,L0_W0,0.5325311738161502,1,1,0.0,MM:VRE,1.0000000000000002,Asia-Pacific,Asia,,,,
MM,L0,W1,L0_W1,0.5075669323200709,1,1,0.05960460933403862,MM:VRE,1.0,Asia-Pacific,Asia,,,,
MM,L0,W2,L0_W2,0.4510807753188848,1,1,0.1745960642686329,MM:VRE,0.9999999999999998,Asia-Pacific,Asia,,,,
MM,L0,W3,L0_W3,0.3468318023171771,1,1,0.3371421513224161,MM:VRE,1.0000000000000002,Asia-Pacific,Asia,,,,
MM,L1,W0,L1_W0,0.2583247154972954,8,6,0.0,TH:WIND,0.2617323876910758,Asia-Pacific,Asia,MM:WIND,0.19983567815679956,BD:PV,0.1785369258021065
MM,L1,W1,L1_W1,0.235335577710866,8,7,0.0528962480763269,TH:WIND,0.25829071767180306,Asia-Pacific,Asia,MM:WIND,0.19790702657318446,BD:PV,0.1787512067988851
MM,L1,W2,L1_W2,0.19599956833308374,8,7,0.14000148573797416,TH:WIND,0.2480335485178606,Asia-Pacific,Asia,MM:WIND,0.19666596821929747,NP:PV,0.18236383081747162
MM,L1,W3,L1_W3,0.15605201134857122,8,7,0.22455663067173515,TH:WIND,0.2353537373411882,Asia-Pacific,Asia,MM:WIND,0.19889131585449982,NP:PV,0.18801397243633944
MM,L2,W0,L2_W0,0.15698992661768393,26,12,0.0,CN:WIND,0.3934699147798147,Asia-Pacific,Asia,IN:WIND,0.20581987117635678,IN:PV,0.13873071724135042
MM,L2,W1,L2_W1,0.13589177338467937,26,12,0.053262139504841245,CN:WIND,0.39287602617045725,Asia-Pacific,Asia,IN:WIND,0.2076842812607651,IN:PV,0.14299490577884308
MM,L2,W2,L2_W2,0.10823450469899316,26,13,0.12369371283083312,CN:WIND,0.386178023064043,Asia-Pacific,Asia,IN:WIND,0.20881254226409773,IN:PV,0.14955880937669405
MM,L2,W3,L2_W3,0.09538927510011912,26,14,0.15620478141740837,CN:WIND,0.37733603913706454,Asia-Pacific,Asia,IN:WIND,0.2046601586783592,IN:PV,0.16004338290464407
MM,L3,W0,L3_W0,0.07439480528914062,210,60,0.0,CN:PV,0.10574436844389458,Asia-Pacific,Asia,CV:PV,0.10424634153816525,NO:PV,0.041911299071657734
MM,L3,W1,L3_W1,0.05742732306768898,210,60,0.04571135720678354,CV:PV,0.10940900724825833,Asia-Pacific,Asia,CN:PV,0.10678639270689644,SN:PV,0.043787869131676566
MM,L3,W2,L3_W2,0.04834105282678488,210,61,0.07289154155590952,CV:PV,0.12121541909218064,Asia-Pacific,Asia,CN:PV,0.11529105257513526,MR:WIND,0.043553847425753904
MM,L3,W3,L3_W3,0.0478586026688642,210,61,0.07439480528914062,CV:PV,0.12152423838985654,Asia-Pacific,Asia,CN:PV,0.11808430371335317,NO:PV,0.04324267681301457
MN,L0,W0,L0_W0,0.3010309138549441,1,1,0.0,MN:VRE,1.0,Asia-Pacific,Asia,,,,
MN,L0,W1,L0_W1,0.2774737665782856,1,1,0.05688522189157357,MN:VRE,1.0,Asia-Pacific,Asia,,,,
MN,L0,W2,L0_W2,0.23554513115106118,1,1,0.15360841981694243,MN:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
MN,L0,W3,L0_W3,0.19228050018702464,1,1,0.2504817874247985,MN:VRE,1.0,Asia-Pacific,Asia,,,,
MN,L1,W0,L1_W0,0.19829201196793236,4,3,0.0,CN:WIND,0.6791054088484173,Asia-Pacific,Asia,CN:PV,0.23867662636096254,MN:WIND,0.08221796479062254
MN,L1,W1,L1_W1,0.17638253466678297,4,3,0.05737670323715145,CN:WIND,0.6730021782859191,Asia-Pacific,Asia,CN:PV,0.24585843756872913,MN:WIND,0.08113938414535415
MN,L1,W2,L1_W2,0.1438717461315393,4,3,0.14253711222636237,CN:WIND,0.6530138553795944,Asia-Pacific,Asia,CN:PV,0.26810864120789196,MN:WIND,0.07887750341251604
MN,L1,W3,L1_W3,0.12418816560239,4,3,0.19431718700409528,CN:WIND,0.6293290660165939,Asia-Pacific,Asia,CN:PV,0.2918489320411498,MN:WIND,0.07882200194225875
MN,L2,W0,L2_W0,0.18374633018395337,14,12,0.0,CN:WIND,0.558257738644006,Asia-Pacific,Asia,KZ:PV,0.12816090046760978,MN:WIND,0.05942092598196161
MN,L2,W1,L2_W1,0.16197469913840667,14,12,0.056026108973188576,CN:WIND,0.553436478201329,Asia-Pacific,Asia,KZ:PV,0.13010612893885753,NP:PV,0.05821450950317231
MN,L2,W2,L2_W2,0.13154607762052722,14,12,0.1358331129140376,CN:WIND,0.534719442338133,Asia-Pacific,Asia,KZ:PV,0.13928048352724415,NP:PV,0.06839944349089301
MN,L2,W3,L2_W3,0.1146874660666061,14,12,0.18099939125376194,CN:WIND,0.5131034645877028,Asia-Pacific,Asia,KZ:PV,0.14428830402790513,NP:PV,0.08620995509452367
MN,L3,W0,L3_W0,0.0766133748028959,210,66,0.0,CV:PV,0.06114689154066214,Asia-Pacific,Asia,ZA:PV,0.06048974642655855,ID:PV,0.05927720533680643
MN,L3,W1,L3_W1,0.059441889996105154,210,64,0.048055327174778235,PH:PV,0.06256118912294215,Asia-Pacific,Asia,CV:PV,0.06217627077653412,ID:PV,0.061730156338055925
MN,L3,W2,L3_W2,0.050280875955363125,210,63,0.0756151390531973,PH:PV,0.07109227412230716,Asia-Pacific,Asia,CV:PV,0.06872282130570517,ID:PV,0.06667574726886566
MN,L3,W3,L3_W3,0.049935865958483115,210,63,0.07661337480289591,PH:PV,0.07179687628993779,Asia-Pacific,Asia,CV:PV,0.06875956037214372,ID:PV,0.06790972913631711
MR,L0,W0,L0_W0,0.27995560515851825,1,1,0.0,MR:VRE,1.0000000000000002,Africa/MENA,EurAfrMENA,,,,
MR,L0,W1,L0_W1,0.2568972549820076,1,1,0.05763523967952522,MR:VRE,0.9999999999999999,Africa/MENA,EurAfrMENA,,,,
MR,L0,W2,L0_W2,0.21744158429309807,1,1,0.15350730849424293,MR:VRE,1.0,Africa/MENA,EurAfrMENA,,,,
MR,L0,W3,L0_W3,0.17977744895648107,1,1,0.24456087766944967,MR:VRE,1.0000000000000002,Africa/MENA,EurAfrMENA,,,,
MR,L1,W0,L1_W0,0.249099947783523,6,4,0.0,MR:WIND,0.3845000294356677,Africa/MENA,EurAfrMENA,CV:PV,0.35432891094730873,SN:WIND,0.2579959851926823
MR,L1,W1,L1_W1,0.2260520215084284,6,3,0.05346672017425796,MR:WIND,0.381590923273401,Africa/MENA,EurAfrMENA,CV:PV,0.36336416915516906,SN:WIND,0.2550449075714301
MR,L1,W2,L1_W2,0.18830964301685746,6,3,0.13909342608543387,CV:PV,0.37603733290164,Africa/MENA,EurAfrMENA,MR:WIND,0.37499039934669,SN:WIND,0.2489722677516701
MR,L1,W3,L1_W3,0.15336050006776591,6,3,0.21736086096977728,CV:PV,0.39220259031767696,Africa/MENA,EurAfrMENA,MR:WIND,0.36711021694305546,SN:WIND,0.24068719273926786
MR,L2,W0,L2_W0,0.19801445049943076,22,12,0.0,MR:WIND,0.22647988421929346,Africa/MENA,EurAfrMENA,NG:WIND,0.17242855667437088,GH:WIND,0.15291968781122833
MR,L2,W1,L2_W1,0.17568068605618056,22,12,0.054000814677675084,MR:WIND,0.22451475307046817,Africa/MENA,EurAfrMENA,NG:WIND,0.17102048299266256,GH:WIND,0.15222870852023185
MR,L2,W2,L2_W2,0.14286930380212717,22,12,0.13398739550559782,MR:WIND,0.21896474669351118,Africa/MENA,EurAfrMENA,NG:WIND,0.1697267081491613,CV:PV,0.15579107922102506
MR,L2,W3,L2_W3,0.12023329263772364,22,9,0.18929492894838665,MR:WIND,0.2170108610699269,Africa/MENA,EurAfrMENA,CV:PV,0.16866584712304195,NG:WIND,0.16763085189399318
MR,L3,W0,L3_W0,0.1029478120118635,210,48,0.0,US:PV,0.22739844422802946,Africa/MENA,EurAfrMENA,FJ:PV,0.11265184582284983,LY:PV,0.05628801661407694
MR,L3,W1,L3_W1,0.08303439860206167,210,48,0.047506260692796676,US:PV,0.23661813718639807,Africa/MENA,EurAfrMENA,FJ:PV,0.11175625553492165,LY:PV,0.057548061302028344
MR,L3,W2,L3_W2,0.06560126202890175,210,48,0.09224512452557547,US:PV,0.23899781918570911,Africa/MENA,EurAfrMENA,FJ:PV,0.11570628182281202,LY:PV,0.05285114499921309
MR,L3,W3,L3_W3,0.0617427121589815,210,49,0.10261298968047958,US:PV,0.23210427168867848,Africa/MENA,EurAfrMENA,FJ:PV,0.12215352495152118,LY:PV,0.05001935361115674
MU,L0,W0,L0_W0,0.42617549765387364,1,1,0.0,MU:VRE,1.0000000000000002,Africa/MENA,EurAfrMENA,,,,
MU,L0,W1,L0_W1,0.40092534766455706,1,1,0.05523988417709244,MU:VRE,1.0,Africa/MENA,EurAfrMENA,,,,
MU,L0,W2,L0_W2,0.346411930683051,1,1,0.16032928044828415,MU:VRE,1.0000000000000002,Africa/MENA,EurAfrMENA,,,,
MU,L0,W3,L0_W3,0.25575084479840077,1,1,0.3029201568924649,MU:VRE,1.0,Africa/MENA,EurAfrMENA,,,,
MU,L1,W0,L1_W0,0.2653963330093327,4,4,0.0,MU:WIND,0.5036382447499581,Africa/MENA,EurAfrMENA,MG:PV,0.21006333723742904,MU:PV,0.176794080612435
MU,L1,W1,L1_W1,0.2418949094958997,4,4,0.051694227372578526,MU:WIND,0.4993811078973228,Africa/MENA,EurAfrMENA,MG:PV,0.21247742030025232,MU:PV,0.18153037142352776
MU,L1,W2,L1_W2,0.20186733398019754,4,4,0.13685883532829432,MU:WIND,0.4886992247858343,Africa/MENA,EurAfrMENA,MG:PV,0.2218185948645514,MU:PV,0.18936786193772462
MU,L1,W3,L1_W3,0.15979004889222673,4,4,0.223359506744085,MU:WIND,0.47559904615556176,Africa/MENA,EurAfrMENA,MG:PV,0.22982116522995835,MU:PV,0.2037274522629433
MU,L2,W0,L2_W0,0.2653963330093327,4,4,0.0,MU:WIND,0.5036382447499581,Africa/MENA,EurAfrMENA,MG:PV,0.21006333723742904,MU:PV,0.176794080612435
MU,L2,W1,L2_W1,0.2418949094958997,4,4,0.051694227372578526,MU:WIND,0.4993811078973228,Africa/MENA,EurAfrMENA,MG:PV,0.21247742030025232,MU:PV,0.18153037142352776
MU,L2,W2,L2_W2,0.20186733398019754,4,4,0.13685883532829432,MU:WIND,0.4886992247858343,Africa/MENA,EurAfrMENA,MG:PV,0.2218185948645514,MU:PV,0.18936786193772462
MU,L2,W3,L2_W3,0.15979004889222673,4,4,0.223359506744085,MU:WIND,0.47559904615556176,Africa/MENA,EurAfrMENA,MG:PV,0.22982116522995835,MU:PV,0.2037274522629433
MU,L3,W0,L3_W0,0.07971041702942443,210,71,0.0,IN:PV,0.0921008907961554,Africa/MENA,EurAfrMENA,CL:PV,0.08246113584483747,ET:PV,0.0728414686088996
MU,L3,W1,L3_W1,0.0627736942003433,210,71,0.05102259668188565,IN:PV,0.0987823722398037,Africa/MENA,EurAfrMENA,CL:PV,0.08918522832752991,ET:PV,0.07033521133907951
MU,L3,W2,L3_W2,0.0541888141610415,210,66,0.07933370319999936,IN:PV,0.10298505273960823,Africa/MENA,EurAfrMENA,CL:PV,0.09450773150386707,ET:PV,0.05990287501605418
