year,grace_h,dist_ring,lcoe_elec
2030,6,D1,131.53374861464243
2030,6,D2,127.28965171065148
2030,6,D3,105.87973278638535
2030,24,D0,132.88161145053462
2030,24,D1,132.7084782550175
2030,24,D2,127.47937744969819
2030,24,D3,103.52810850896945
2030,168,D0,131.22322694851943
2030,168,D1,131.21756757239322
2030,168,D2,125.50850236973741
2030,168,D3,101.79728064504646
2031,0,D0,137.1554367206498
2031,0,D1,137.2400755390569
2031,0,D2,135.8178767952731
2031,0,D3,110.17366646040901
2031,6,D0,130.22622457407766
2031,6,D1,129.9838913641326
2031,6,D2,125.84347978596153
2031,6,D3,104.52423767746926
2031,24,D0,131.47408352030544
2031,24,D1,131.3163350312797
2031,24,D2,126.10822315702966
2031,24,D3,102.18136893542079
2031,168,D0,129.9696355219313
2031,168,D1,129.98902806263325
2031,168,D2,124.25879402457167
2031,168,D3,100.51797285941119
2032,0,D0,135.74987728090076
2032,0,D1,135.86895143322226
2032,0,D2,134.52261022187804
2032,0,D3,108.79797474266977
2032,6,D0,128.6808260356988
2032,6,D1,128.4407461161657
2032,6,D2,124.44351387269572
2032,6,D3,103.11380825919156
2032,24,D0,130.07806045001027
2032,24,D1,129.9494902270078
2032,24,D2,124.87584152182659
2032,24,D3,100.88228924791886
2032,168,D0,128.7250688939633
2032,168,D1,128.74677833490063
2032,168,D2,123.09686568789961
2032,168,D3,99.29476565486864
2033,0,D0,134.30986239539124
2033,0,D1,134.47012548795908
2033,0,D2,133.24255347380716
2033,0,D3,107.48910634627018
2033,6,D0,127.15708268165787
2033,6,D1,126.97082770999565
2033,6,D2,122.9915333287075
2033,6,D3,101.7407610007921
2033,24,D0,128.7491960043044
2033,24,D1,128.61579855107385
2033,24,D2,123.64019881502632
2033,24,D3,99.5762800986421
2033,168,D0,127.45655654099643
2033,168,D1,127.49185811521889
2033,168,D2,121.78809569531721
2033,168,D3,98.04423560685403
2034,0,D0,132.8422826298376
2034,0,D1,133.05999378467152
2034,0,D2,131.9603375597803
2034,0,D3,106.18689558775752
2034,6,D0,125.64555929149864
2034,6,D1,125.5194190420848
2034,6,D2,121.5517517252002
2034,6,D3,100.40216634549535
2034,24,D0,127.39922068844514
2034,24,D1,127.25022462811106
2034,24,D2,122.37920234432148
2034,24,D3,98.28595148852934
2034,168,D0,126.21445993419586
2034,168,D1,126.24557191797864
2034,168,D2,120.51171658536062
2034,168,D3,96.80953895985125
2035,0,D0,131.4511931614328
2035,0,D1,131.69506599933925
2035,0,D2,130.66899151445406
2035,0,D3,104.89959485306356
2035,6,D0,124.1460637635414
2035,6,D1,124.03115000534093
2035,6,D2,120.11793272142071
2035,6,D3,99.02967042004435
2035,24,D0,126.09092127234564
2035,24,D1,125.96800372435763
2035,24,D2,121.1487378472941
2035,24,D3,97.01389950463698
2035,168,D0,124.99852370988793
2035,168,D1,125.03180412426141
2035,168,D2,119.33596727123646
2035,168,D3,95.60944494030377
2036,0,D0,130.04416761838885
2036,0,D1,130.31833238115007
2036,0,D2,129.40310817688854
2036,0,D3,103.60201928877231
2036,6,D0,122.69064882575029
2036,6,D1,122.61424986148754
2036,6,D2,118.73640775521618
2036,6,D3,97.68401354022967
2036,24,D0,124.81364822497996
2036,24,D1,124.68976311553774
2036,24,D2,119.95653758421219
2036,24,D3,95.74391497547406
2036,168,D0,123.76237446885786
2036,168,D1,123.80131808732712
2036,168,D2,118.19021185674364
2036,168,D3,94.36484679689957
2037,0,D0,128.6832593080887
2037,0,D1,128.95821087585543
2037,0,D2,128.16497675229792
2037,0,D3,102.3112545471882
2037,6,D0,121.23160712992967
2037,6,D1,121.21124649224122
2037,6,D2,117.41006439724475
2037,6,D3,96.34375989785453
2037,24,D0,123.56364015088495
2037,24,D1,123.44809927562636
2037,24,D2,118.80689701428335
2037,24,D3,94.4913016151829
2037,168,D0,122.55438091533908
2037,168,D1,122.60906932217493
2037,168,D2,117.12878494741076
2037,168,D3,93.14777294772342
2038,0,D0,127.318553447693
2038,0,D1,127.62259755745809
2038,0,D2,126.95328066468704
2038,0,D3,101.02286897490224
2038,6,D0,119.81646484040438
2038,6,D1,119.80628861378412
2038,6,D2,116.09681078959134
2038,6,D3,94.98938635971794
2038,24,D0,122.37597686135662
2038,24,D1,122.24126350721816
2038,24,D2,117.66180454544681
2038,24,D3,93.26321571919752
2038,168,D0,121.42889876719907
2038,168,D1,121.44746625084302
2038,168,D2,116.04258613445836
2038,168,D3,91.98350023622464
2039,0,D0,125.99430290860639
2039,0,D1,126.29436717923917
2039,0,D2,125.72656173842084
2039,0,D3,99.77958492714818
2039,6,D0,118.35217721643195
2039,6,D1,118.37921667297367
2039,6,D2,114.76314041176062
2039,6,D3,93.68361643625438
2039,24,D0,121.11906912437688
2039,24,D1,121.02788143836014
2039,24,D2,116.54249644434071
2039,24,D3,92.0382149619385
2039,168,D0,120.2184357190728
2039,168,D1,120.28209973791984
2039,168,D2,114.94326401671123
2039,168,D3,90.8215256808597
